Test unit,test 14
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.39,-21.4,-0.021
-0.39,-24.9,-0.021
-0.59,-25.8,-0.031
-0.59,-30.1,-0.031
-0.78,-31,-0.041
-0.78,-36.2,-0.041
-0.98,-37.1,-0.051
-0.98,-41.5,-0.051
-1.17,-42.4,-0.062
-1.17,-45.9,-0.062
-1.37,-46.7,-0.072
-1.37,-51.1,-0.072
-1.56,-52,-0.082
-1.56,-55.5,-0.082
-1.76,-56.3,-0.092
-1.76,-59.8,-0.092
-1.95,-60.7,-0.103
-1.95,-62.4,-0.103
-1.95,-49.4,-0.103
-1.76,-48.5,-0.092
-1.76,-39.8,-0.092
-1.56,-38.9,-0.082
-1.56,-31.9,-0.082
-1.37,-31,-0.072
-1.37,-24.9,-0.072
-1.17,-24,-0.062
-1.17,-17.9,-0.062
-0.98,-17,-0.051
-0.98,-11.8,-0.051
-0.78,-10.9,-0.041
-0.78,-5.7,-0.041
-0.59,-4.8,-0.031
-0.59,-0.4,-0.031
-0.59,0.4,-0.031
-0.39,1.3,-0.021
-0.39,6.5,-0.021
-0.2,7.4,-0.01
-0.2,11.8,-0.01
-0,12.7,-0
-0,17.9,-0
0.19,18.8,0.01
0.19,22.3,0.01
0.39,23.1,0.02
0.39,28.4,0.02
0.58,29.3,0.031
0.58,33.6,0.031
0.78,34.5,0.041
0.78,38,0.041
0.98,38.9,0.051
0.98,43.2,0.051
1.17,44.1,0.062
1.17,47.6,0.062
1.37,48.5,0.072
1.37,51.9,0.072
1.56,52.8,0.082
1.56,56.3,0.082
1.76,57.2,0.092
1.76,59.8,0.092
1.95,60.7,0.103
1.95,61.6,0.103
1.95,51.9,0.103
1.76,51.1,0.092
1.76,42.3,0.092
1.56,41.5,0.082
1.56,35.4,0.082
1.37,34.5,0.072
1.37,28.4,0.072
1.17,27.5,0.062
1.17,21.4,0.062
0.98,20.5,0.051
0.98,15.3,0.051
0.78,14.4,0.041
0.78,9.2,0.041
0.58,8.3,0.031
0.58,3.9,0.031
0.39,3.1,0.02
0.39,-2.2,0.02
0.19,-3.1,0.01
0.19,-8.3,0.01
-0,-9.2,-0
-0,-13.5,-0
-0.2,-14.4,-0.01
-0.2,-18.8,-0.01
-0.39,-19.6,-0.021
-0.39,-24,-0.021
-0.59,-24.9,-0.031
-0.59,-29.3,-0.031
-0.78,-30.1,-0.041
-0.78,-35.4,-0.041
-0.98,-36.2,-0.051
-0.98,-40.6,-0.051
-1.17,-41.5,-0.062
-1.17,-45,-0.062
-1.37,-45.9,-0.072
-1.37,-50.2,-0.072
-1.56,-51.1,-0.082
-1.56,-54.6,-0.082
-1.76,-55.5,-0.092
-1.76,-59.8,-0.092
-1.95,-60.7,-0.103
-1.95,-62.4,-0.103
-1.95,-50.2,-0.103
-1.76,-49.4,-0.092
-1.76,-40.6,-0.092
-1.56,-39.8,-0.082
-1.56,-31.9,-0.082
-1.37,-31,-0.072
-1.37,-24.9,-0.072
-1.17,-24,-0.062
-1.17,-18.8,-0.062
-0.98,-17.9,-0.051
-0.98,-11.8,-0.051
-0.78,-10.9,-0.041
-0.78,-5.7,-0.041
-0.59,-4.8,-0.031
-0.65,-0.5,-0.034
NaN,NaN,NaN
-0.39,0.4,-0.021
-0.39,5.7,-0.021
-0.2,6.5,-0.01
-0.2,11.8,-0.01
-0,12.7,-0
-0,17.9,-0
0.19,18.8,0.01
0.19,22.3,0.01
0.39,23.1,0.02
0.39,27.5,0.02
0.58,28.4,0.031
0.58,32.7,0.031
0.78,33.6,0.041
0.78,38,0.041
0.98,38.9,0.051
0.98,43.2,0.051
1.17,44.1,0.062
1.17,47.6,0.062
1.37,48.5,0.072
1.37,51.9,0.072
1.56,52.8,0.082
1.56,56.3,0.082
1.76,57.2,0.092
1.76,60.7,0.092
1.95,61.6,0.103
1.95,63.3,0.103
2.34,65.1,0.123
2.34,66.8,0.123
2.54,67.7,0.133
2.93,69.4,0.154
2.73,69.4,0.144
2.93,60.7,0.154
2.73,59.8,0.144
2.73,52.8,0.144
2.54,51.9,0.133
2.54,46.7,0.133
2.34,45.9,0.123
2.34,40.6,0.123
2.15,39.7,0.113
2.15,35.4,0.113
1.95,34.5,0.103
1.95,31,0.103
1.76,30.1,0.092
1.76,25.8,0.092
1.56,24.9,0.082
1.56,20.5,0.082
1.37,19.7,0.072
1.37,15.3,0.072
1.17,14.4,0.062
1.17,10.9,0.062
0.98,10,0.051
0.98,5.7,0.051
0.78,4.8,0.041
0.78,0.4,0.041
0.58,-0.4,0.031
0.58,-4.8,0.031
0.39,-5.7,0.02
0.39,-9.2,0.02
0.19,-10,0.01
0.19,-14.4,0.01
-0,-15.3,-0
-0,-19.6,-0
-0.2,-20.5,-0.01
-0.2,-24,-0.01
-0.39,-24.9,-0.021
-0.39,-29.3,-0.021
-0.59,-30.1,-0.031
-0.59,-33.6,-0.031
-0.78,-34.5,-0.041
-0.78,-38.9,-0.041
-0.98,-39.8,-0.051
-0.98,-43.2,-0.051
-1.17,-44.1,-0.062
-1.17,-47.6,-0.062
-1.37,-48.5,-0.072
-1.37,-52.8,-0.072
-1.56,-53.7,-0.082
-1.56,-57.2,-0.082
-1.76,-58.1,-0.092
-1.76,-61.6,-0.092
-1.95,-62.4,-0.103
-1.95,-65.1,-0.103
-2.34,-66.8,-0.123
-2.34,-68.6,-0.123
-2.54,-69.4,-0.134
-2.73,-70.3,-0.144
-3.12,-70.3,-0.164
-2.93,-70.3,-0.154
-3.12,-70.3,-0.164
-2.93,-69.4,-0.154
-2.93,-59.8,-0.154
-2.73,-59,-0.144
-2.73,-53.7,-0.144
-2.54,-52.8,-0.134
-2.54,-46.7,-0.134
-2.34,-45.9,-0.123
-2.34,-41.5,-0.123
-2.15,-40.6,-0.113
-2.15,-36.2,-0.113
-1.95,-35.4,-0.103
-1.95,-31,-0.103
-1.76,-30.1,-0.092
