Test unit,T1-1
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
2.63,60.7,0.211
2.59,58.2,0.207
2.53,55.4,0.202
2.44,52.6,0.195
2.31,48.8,0.185
2.17,45.1,0.174
2.03,41,0.163
1.86,36.6,0.149
1.68,31.6,0.134
1.49,26.6,0.119
1.26,21,0.101
1.05,14.7,0.084
0.82,7.8,0.066
0.58,0,0.046
0.34,-7.8,0.027
0.22,-11.3,0.018
0.2,-11.9,0.016
-0.03,-15,-0.003
-0.01,-13.1,-0.001
0,-13.1,0
-0.01,-14.4,-0.001
-0.29,-27.2,-0.023
-0.52,-33.2,-0.042
-0.77,-39.1,-0.062
-1.23,-48.5,-0.099
-1.43,-52.6,-0.115
-1.65,-57.3,-0.132
-1.82,-61.7,-0.146
-1.99,-66.1,-0.159
-2.29,-72,-0.183
-2.41,-74.2,-0.193
-2.49,-76.1,-0.2
-2.58,-77,-0.206
-2.62,-78,-0.21
-2.67,-78.3,-0.213
-2.67,-78,-0.213
-2.66,-75.4,-0.212
-2.61,-73.6,-0.209
-2.56,-72,-0.205
-2.47,-69.2,-0.198
-2.38,-66.1,-0.19
-2.25,-62,-0.18
-2.11,-57.3,-0.169
-1.96,-52.6,-0.157
-1.78,-47,-0.142
-1.58,-40.7,-0.127
-1.38,-33.8,-0.11
-1.17,-27.2,-0.093
-0.93,-19.1,-0.075
-0.73,-12.2,-0.058
-0.7,-11.6,-0.056
-0.05,8.5,-0.004
0.04,12.8,0.003
0.28,20.3,0.022
