Test unit,E6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.17,-12.2,0.015
0.16,-13.3,0.014
0.13,-14.3,0.011
0.12,-15.4,0.01
0.1,-16.6,0.009
0.09,-17.5,0.008
0.07,-18.6,0.006
0.05,-19.6,0.005
0.03,-20.6,0.003
0.03,-21.6,0.002
0.03,-22.6,0.002
0.03,-23.7,0.003
0.03,-24.5,0.002
0,-25.6,0
-0.02,-26.5,-0.002
-0.03,-27.5,-0.002
-0.04,-28.4,-0.003
-0.05,-29.4,-0.004
-0.06,-30.4,-0.005
-0.08,-31.2,-0.007
-0.08,-32.3,-0.007
-0.07,-33.3,-0.006
-0.09,-34.2,-0.008
-0.1,-35.2,-0.009
-0.12,-36.1,-0.01
-0.13,-36.9,-0.011
-0.13,-37.9,-0.011
-0.13,-38.9,-0.011
-0.14,-39.9,-0.012
-0.14,-40.9,-0.013
-0.14,-41.9,-0.013
-0.17,-42.6,-0.015
-0.18,-43.5,-0.016
-0.19,-44.5,-0.016
-0.2,-45.4,-0.017
-0.21,-46.4,-0.018
-0.21,-47.4,-0.018
-0.23,-48.1,-0.02
-0.24,-49.1,-0.021
-0.25,-48,-0.022
-0.25,-46.8,-0.022
-0.25,-45.8,-0.022
-0.25,-47,-0.022
-0.25,-48.1,-0.022
-0.26,-49.1,-0.023
-0.27,-48.1,-0.024
-0.27,-46.9,-0.024
-0.28,-45.8,-0.024
-0.28,-44.7,-0.024
-0.27,-43.6,-0.023
-0.26,-42.4,-0.023
-0.25,-41.3,-0.022
-0.24,-40.3,-0.021
-0.24,-39.2,-0.021
-0.23,-38.2,-0.02
-0.22,-37.2,-0.02
-0.21,-36.2,-0.018
-0.19,-35.3,-0.017
-0.21,-34.2,-0.018
-0.2,-33.1,-0.018
-0.19,-32.1,-0.017
-0.18,-31,-0.016
-0.17,-30,-0.015
-0.17,-29,-0.015
-0.16,-28,-0.014
-0.15,-26.9,-0.013
-0.14,-25.8,-0.012
-0.12,-24.8,-0.011
-0.13,-23.8,-0.011
-0.12,-22.7,-0.01
-0.11,-21.7,-0.01
-0.11,-20.5,-0.009
