Test unit,C5
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.4,60.5,0.03
0.41,61.8,0.03
0.42,63.2,0.031
0.44,64.5,0.033
0.46,65.7,0.034
0.47,66.7,0.035
0.47,68.1,0.035
0.47,69.4,0.034
0.47,70.7,0.035
0.48,72,0.036
0.49,73.2,0.036
0.5,74.5,0.037
0.51,75.6,0.038
0.52,76.8,0.038
0.52,77.9,0.039
0.53,79.1,0.039
0.54,80.1,0.04
0.56,81.3,0.041
0.58,82.5,0.043
0.59,83.6,0.044
0.61,84.7,0.045
0.64,85.5,0.047
0.65,86.5,0.048
0.66,87.8,0.049
0.67,88.7,0.05
0.69,90,0.051
0.71,91,0.053
0.73,92,0.054
0.74,92.9,0.055
0.75,93.7,0.055
0.76,94.5,0.056
0.77,95.2,0.057
0.78,95.8,0.058
0.8,96.4,0.06
0.8,97.6,0.059
0.81,98.1,0.06
0.82,99.3,0.061
0.84,99.3,0.062
0.86,100.3,0.064
0.88,101.5,0.065
0.9,100.7,0.067
0.92,101.5,0.068
0.94,102,0.07
0.96,102.7,0.071
0.98,102.9,0.073
0.99,101.4,0.073
1,100,0.074
1,98.4,0.074
0.98,97.3,0.073
0.97,95.9,0.072
0.96,94.7,0.071
0.94,93.8,0.069
0.92,92.3,0.068
0.92,90.9,0.068
0.89,90.3,0.066
0.89,88.9,0.066
0.86,88.2,0.064
0.85,87,0.063
0.83,85.8,0.062
0.81,84.8,0.06
0.8,83.4,0.059
0.78,82.3,0.058
0.77,81.2,0.057
0.76,80,0.056
0.74,78.8,0.055
0.74,77.3,0.055
0.73,76.2,0.054
0.71,75.3,0.053
0.69,74.3,0.051
0.68,73.1,0.05
0.66,72,0.049
0.65,70.7,0.048
0.64,69.4,0.047
0.63,68.1,0.047
0.62,66.9,0.046
0.61,65.7,0.045
0.6,64.5,0.044
0.58,63.2,0.043
0.57,62.1,0.042
0.56,60.8,0.042
0.56,59.3,0.042
0.55,58,0.041
0.53,56.9,0.039
0.52,55.5,0.038
0.5,54.3,0.037
0.48,53.1,0.036
0.47,51.9,0.034
0.45,50.5,0.034
0.44,49.2,0.033
0.43,47.7,0.032
0.42,46.3,0.031
0.41,44.9,0.03
0.39,43.5,0.029
0.38,42.3,0.028
0.36,40.8,0.027
0.35,39.3,0.026
0.34,37.8,0.025
0.33,36.2,0.024
0.32,34.6,0.024
0.33,33,0.025
0.33,31.4,0.024
0.32,30.3,0.023
0.31,29,0.023
0.29,27.8,0.022
0.28,26.5,0.021
0.28,25.3,0.02
0.27,23.7,0.02
0.26,22.2,0.019
0.25,20.7,0.019
0.24,19.2,0.018
0.24,18,0.017
0.23,16.7,0.017
0.22,15.3,0.017
0.22,13.9,0.016
0.21,12.5,0.015
0.2,11.1,0.015
0.18,9.5,0.014
0.17,8.4,0.013
0.16,7,0.012
0.17,5.4,0.012
0.16,4,0.012
0.15,2.1,0.011
0.13,0.4,0.01
0.11,-1,0.008
0.09,-2.3,0.007
0.08,-3.6,0.006
0.06,-5,0.005
0.06,-6.9,0.004
0.05,-8.5,0.004
0.04,-9.8,0.003
0.02,-11,0.002
0.02,-12.5,0.001
0.01,-15.1,0.001
-0,-16.4,-0
-0.01,-17.8,-0.001
-0.01,-19.1,-0.001
-0.02,-20.3,-0.001
-0.02,-22.7,-0.002
