Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-5.56,-14.1,-0.371
-5.42,-13.5,-0.361
-5.28,-13.5,-0.352
-5.14,-12.9,-0.343
-5,-12.2,-0.333
-4.86,-11.6,-0.324
-4.72,-11,-0.315
-4.58,-11,-0.305
-4.44,-10.3,-0.296
-4.3,-9.7,-0.286
-4.16,-9.1,-0.277
-4.02,-8.5,-0.268
-3.88,-7.8,-0.258
-3.73,-7.8,-0.249
-3.45,-6.6,-0.23
-3.59,-6.6,-0.239
-3.45,-6.6,-0.23
-3.31,-6,-0.221
-3.17,-5.3,-0.211
-3.03,-4.7,-0.202
-2.89,-4.1,-0.192
-2.75,-3.4,-0.183
-2.61,-2.8,-0.174
-2.47,-2.2,-0.164
-2.33,-1.6,-0.155
-2.19,-0.9,-0.146
-2.04,-0.3,-0.136
-1.9,-0.3,-0.127
NaN,NaN,NaN
-1.9,0.3,-0.127
-1.76,0.9,-0.117
-1.62,1.6,-0.108
-1.48,2.2,-0.099
-1.34,2.8,-0.089
-1.2,3.4,-0.08
-1.06,4.1,-0.07
-0.92,4.7,-0.061
-0.78,5.3,-0.052
-0.64,6,-0.042
-0.49,6.6,-0.033
-0.35,6.6,-0.024
-0.21,7.2,-0.014
0.07,8.5,0.005
0.07,9.1,0.005
0.21,9.7,0.014
0.35,9.7,0.023
0.49,10.3,0.033
0.77,11.6,0.052
0.63,11.6,0.042
0.77,11.6,0.052
0.92,12.2,0.061
1.06,12.8,0.07
1.2,13.5,0.08
1.34,14.1,0.089
1.48,14.7,0.099
1.62,15.4,0.108
1.76,15.4,0.117
1.9,16,0.127
2.04,16.6,0.136
2.18,17.2,0.146
2.32,17.9,0.155
2.47,17.9,0.164
2.61,18.5,0.174
2.75,19.1,0.183
2.89,19.7,0.192
3.03,20.4,0.202
3.17,20.4,0.211
3.31,21,0.221
3.45,21.6,0.23
3.59,22.3,0.239
3.73,22.3,0.249
3.87,22.9,0.258
4.02,23.5,0.268
4.16,23.5,0.277
4.3,24.1,0.286
4.44,24.8,0.296
4.58,24.8,0.305
4.72,25.4,0.315
4.86,26,0.324
5,26.6,0.333
5.14,26.6,0.343
5.28,27.3,0.352
5.42,27.9,0.361
5.56,27.9,0.371
5.7,28.5,0.38
5.84,29.2,0.39
5.99,29.2,0.399
6.13,29.8,0.409
6.27,30.4,0.418
6.41,30.4,0.427
6.55,31,0.437
6.69,31,0.446
6.83,31.7,0.455
6.97,31.7,0.465
7.11,32.3,0.474
7.25,32.3,0.484
7.39,32.9,0.493
7.53,33.5,0.502
7.67,33.5,0.512
7.81,34.2,0.521
7.96,34.2,0.531
8.1,34.8,0.54
8.24,34.8,0.549
8.38,35.4,0.559
8.52,35.4,0.568
8.66,36,0.578
8.8,36,0.587
8.94,36.7,0.596
9.08,36.7,0.606
9.22,36.7,0.615
9.36,37.3,0.624
9.51,37.3,0.634
9.65,37.9,0.643
9.79,37.9,0.652
9.93,37.9,0.662
10.07,38.5,0.671
10.21,38.5,0.681
10.35,39.2,0.69
10.49,39.2,0.7
10.63,39.2,0.709
10.77,39.8,0.718
10.92,39.8,0.728
11.06,40.4,0.737
11.2,40.4,0.746
11.34,41.1,0.756
11.48,41.1,0.765
11.62,41.1,0.775
11.76,41.7,0.784
11.9,41.7,0.794
12.04,42.3,0.803
12.18,42.3,0.812
12.32,42.9,0.822
12.47,43.6,0.831
12.61,44.2,0.84
12.75,44.2,0.85
12.89,44.8,0.859
13.03,45.4,0.869
13.17,46.1,0.878
13.31,46.7,0.887
13.45,47.3,0.897
13.59,48,0.906
13.73,48.6,0.916
13.87,49.2,0.925
14.02,49.8,0.934
14.16,50.5,0.944
14.3,50.5,0.953
14.58,51.7,0.972
14.44,51.7,0.962
14.58,51.7,0.972
14.72,52.3,0.981
14.86,53,0.991
15,53.6,1
15.14,54.2,1.009
15.28,54.9,1.019
15.42,55.5,1.028
15.56,56.1,1.038
15.71,56.1,1.047
15.99,57.4,1.066
15.99,58,1.066
16.13,58,1.075
16.27,58.6,1.085
16.41,59.2,1.094
16.55,59.9,1.103
16.69,60.5,1.113
16.83,61.1,1.122
16.97,61.8,1.131
17.11,62.4,1.141
17.25,63,1.15
17.39,63.6,1.16
17.53,64.3,1.169
17.68,64.9,1.179
17.82,65.5,1.188
17.96,66.1,1.197
18.1,66.8,1.207
18.24,67.4,1.216
18.38,68,1.225
18.52,68.7,1.235
18.66,69.3,1.244
18.8,69.9,1.253
18.94,70.5,1.263
19.08,71.2,1.272
19.22,71.8,1.282
19.36,72.4,1.291
19.65,73.7,1.31
19.65,74.3,1.31
19.79,74.9,1.319
19.93,75.5,1.329
20.07,74.9,1.338
20.07,73.7,1.338
19.93,72.4,1.329
19.93,67.4,1.329
19.79,66.1,1.319
19.79,64.9,1.319
19.65,63.6,1.31
19.65,62.4,1.31
19.51,61.1,1.3
19.51,60.5,1.3
19.36,59.2,1.291
19.36,58.6,1.291
19.22,58,1.282
19.22,56.1,1.282
19.08,55.5,1.272
19.08,54.9,1.272
18.94,54.2,1.263
18.94,53.6,1.263
18.66,52.3,1.244
18.66,51.7,1.244
18.38,50.5,1.225
18.38,49.8,1.225
18.24,49.2,1.216
18.24,48.6,1.216
18.1,48,1.207
17.82,46.7,1.188
17.82,46.1,1.188
17.68,45.4,1.179
17.53,44.8,1.169
17.39,44.2,1.16
17.25,43.6,1.15
17.11,42.9,1.141
16.97,42.3,1.131
16.83,41.7,1.122
16.55,40.4,1.103
16.55,39.8,1.103
16.41,39.8,1.094
16.27,39.2,1.085
16.13,38.5,1.075
15.99,37.9,1.066
15.85,37.3,1.056
15.71,36.7,1.047
15.56,36,1.038
15.42,35.4,1.028
15.28,34.8,1.019
15.14,34.2,1.009
15,34.2,1
14.86,33.5,0.991
14.72,32.9,0.981
14.58,32.3,0.972
14.44,32.3,0.962
14.3,31.7,0.953
14.16,31,0.944
14.02,30.4,0.934
13.87,29.8,0.925
13.73,29.8,0.916
13.59,29.2,0.906
13.45,28.5,0.897
13.31,27.9,0.887
13.17,27.3,0.878
13.03,27.3,0.869
12.89,26.6,0.859
12.75,26.6,0.85
12.61,26,0.84
12.47,25.4,0.831
12.32,25.4,0.822
12.18,24.8,0.812
12.04,24.8,0.803
11.9,24.1,0.794
11.76,23.5,0.784
11.62,23.5,0.775
11.48,22.9,0.765
11.34,22.9,0.756
11.2,22.3,0.746
11.06,21.6,0.737
10.92,21.6,0.728
10.77,21,0.718
10.63,21,0.709
10.49,20.4,0.7
10.35,19.7,0.69
10.21,19.7,0.681
10.07,19.1,0.671
9.93,19.1,0.662
9.79,18.5,0.652
9.65,17.9,0.643
9.51,17.9,0.634
9.36,17.2,0.624
9.22,17.2,0.615
9.08,16.6,0.606
8.94,16,0.596
8.8,16,0.587
8.66,15.4,0.578
8.52,14.7,0.568
8.38,14.1,0.559
8.24,14.1,0.549
8.1,13.5,0.54
7.96,13.5,0.531
7.81,12.8,0.521
7.67,12.2,0.512
7.53,11.6,0.502
7.39,11,0.493
7.25,11,0.484
7.11,10.3,0.474
6.97,9.7,0.465
6.83,9.1,0.455
6.69,8.5,0.446
6.55,8.5,0.437
6.41,7.8,0.427
6.27,7.2,0.418
6.13,6.6,0.409
5.99,6,0.399
5.84,5.3,0.39
5.7,4.7,0.38
5.56,4.1,0.371
5.42,4.1,0.361
5.28,3.4,0.352
5.14,2.8,0.343
5,2.2,0.333
4.86,1.6,0.324
4.72,0.9,0.315
4.58,0.3,0.305
4.44,-0.3,0.296
4.3,-0.9,0.286
4.16,-1.6,0.277
4.02,-2.2,0.268
3.87,-2.2,0.258
3.73,-2.8,0.249
3.59,-3.4,0.239
3.45,-4.1,0.23
3.31,-4.7,0.221
3.17,-5.3,0.211
3.03,-6,0.202
2.89,-6.6,0.192
2.75,-7.2,0.183
2.61,-7.8,0.174
2.47,-8.5,0.164
2.32,-8.5,0.155
2.04,-9.7,0.136
2.18,-9.7,0.146
2.04,-9.7,0.136
1.9,-10.3,0.127
1.76,-11,0.117
1.62,-11.6,0.108
1.48,-12.2,0.099
1.34,-12.9,0.089
1.2,-13.5,0.08
1.06,-14.1,0.07
0.92,-14.7,0.061
0.77,-15.4,0.052
0.63,-16,0.042
0.49,-16.6,0.033
0.35,-17.2,0.023
0.21,-17.2,0.014
0.07,-17.9,0.005
-0.07,-18.5,-0.005
-0.21,-19.1,-0.014
-0.35,-19.8,-0.024
-0.49,-19.8,-0.033
-0.64,-20.4,-0.042
-0.78,-21,-0.052
-0.92,-21.6,-0.061
-1.06,-21.6,-0.07
-1.2,-22.3,-0.08
-1.34,-22.9,-0.089
-1.48,-22.9,-0.099
-1.62,-23.5,-0.108
-1.76,-23.5,-0.117
-1.9,-24.1,-0.127
-2.04,-24.8,-0.136
-2.19,-24.8,-0.146
-2.33,-25.4,-0.155
-2.47,-26,-0.164
-2.61,-26.7,-0.174
-2.75,-26.7,-0.183
-2.89,-27.3,-0.192
-3.03,-27.3,-0.202
-3.17,-27.9,-0.211
-3.31,-27.9,-0.221
-3.45,-28.5,-0.23
-3.59,-29.2,-0.239
-3.73,-29.2,-0.249
-3.88,-29.8,-0.258
-4.02,-30.4,-0.268
-4.16,-30.4,-0.277
-4.3,-31,-0.286
-4.44,-31.7,-0.296
-4.58,-31.7,-0.305
-4.72,-32.3,-0.315
-4.86,-32.3,-0.324
-5,-32.9,-0.333
-5.14,-32.9,-0.343
-5.28,-33.5,-0.352
-5.42,-34.2,-0.361
-5.56,-34.2,-0.371
-5.7,-34.8,-0.38
-5.85,-34.8,-0.39
-5.99,-35.4,-0.399
-6.13,-36,-0.409
-6.27,-36,-0.418
-6.41,-36.7,-0.427
-6.55,-36.7,-0.437
-6.69,-37.3,-0.446
-6.83,-37.3,-0.455
-6.97,-37.9,-0.465
-7.11,-37.9,-0.474
-7.25,-38.6,-0.484
-7.39,-38.6,-0.493
-7.53,-39.2,-0.502
-7.68,-39.2,-0.512
-7.82,-39.2,-0.521
-7.96,-39.8,-0.531
-8.1,-39.8,-0.54
-8.24,-40.4,-0.549
-8.38,-40.4,-0.559
-8.52,-41.1,-0.568
-8.66,-41.7,-0.578
-8.8,-41.7,-0.587
-8.94,-42.3,-0.596
-9.08,-42.9,-0.606
-9.23,-43.6,-0.615
-9.37,-43.6,-0.624
-9.51,-44.2,-0.634
-9.65,-44.8,-0.643
-9.79,-45.5,-0.653
-9.93,-45.5,-0.662
-10.07,-46.1,-0.671
-10.21,-46.1,-0.681
-10.35,-46.7,-0.69
-10.49,-47.3,-0.7
-10.64,-47.3,-0.709
-10.78,-48,-0.718
-10.92,-48,-0.728
-11.06,-48.6,-0.737
-11.2,-48.6,-0.747
-11.34,-49.2,-0.756
-11.48,-49.2,-0.765
-11.62,-49.8,-0.775
-11.76,-50.5,-0.784
-11.9,-50.5,-0.794
-12.04,-50.5,-0.803
-12.19,-51.1,-0.812
-12.33,-51.7,-0.822
-12.47,-51.7,-0.831
-12.61,-52.4,-0.84
-12.75,-52.4,-0.85
-12.89,-53,-0.859
-13.03,-53.6,-0.869
-13.17,-54.2,-0.878
-13.31,-54.9,-0.887
-13.45,-54.9,-0.897
-13.59,-55.5,-0.906
-13.74,-56.1,-0.916
-13.88,-56.7,-0.925
-14.02,-57.4,-0.934
-14.16,-58,-0.944
-14.3,-58.6,-0.953
-14.44,-59.3,-0.962
-14.58,-59.3,-0.972
-14.72,-59.9,-0.981
-14.86,-60.5,-0.991
-15,-61.1,-1
-15.14,-61.8,-1.009
-15.28,-62.4,-1.019
-15.42,-62.4,-1.028
-15.57,-63,-1.038
-15.71,-63.6,-1.047
-15.85,-64.3,-1.056
-15.99,-64.9,-1.066
-16.13,-65.5,-1.075
-16.27,-66.1,-1.085
-16.41,-66.8,-1.094
-16.55,-67.4,-1.103
-16.69,-68,-1.113
-16.83,-68,-1.122
-17.11,-69.3,-1.141
-17.11,-69.9,-1.141
-17.25,-69.9,-1.15
-17.39,-70.5,-1.16
-17.54,-71.2,-1.169
-17.82,-72.4,-1.188
-17.68,-72.4,-1.179
-17.82,-72.4,-1.188
-17.96,-73,-1.197
-18.1,-73.7,-1.207
-18.24,-74.3,-1.216
-18.38,-74.9,-1.225
-18.52,-75.5,-1.235
-18.66,-76.2,-1.244
-18.8,-76.8,-1.254
-18.94,-77.4,-1.263
-19.08,-78.1,-1.272
-19.23,-78.7,-1.282
-19.51,-79.9,-1.301
-19.51,-80.6,-1.301
-19.65,-81.2,-1.31
-19.65,-81.8,-1.31
-19.79,-82.4,-1.319
-19.93,-81.8,-1.329
-19.93,-79.9,-1.329
-19.79,-78.1,-1.319
-19.79,-76.2,-1.319
-19.65,-74.9,-1.31
-19.65,-76.2,-1.31
-19.65,-71.2,-1.31
-19.51,-69.9,-1.301
-19.51,-68.7,-1.301
-19.37,-67.4,-1.291
-19.37,-66.8,-1.291
-19.23,-66.1,-1.282
-19.23,-65.5,-1.282
-18.94,-64.3,-1.263
-18.94,-63.6,-1.263
-18.66,-62.4,-1.244
-18.66,-61.1,-1.244
-18.52,-60.5,-1.235
-18.38,-59.9,-1.225
-18.24,-59.3,-1.216
-17.96,-58,-1.197
-17.96,-57.4,-1.197
-17.82,-56.7,-1.188
-17.68,-56.1,-1.179
-17.39,-54.9,-1.16
-17.39,-54.2,-1.16
-17.25,-53.6,-1.15
-17.11,-53,-1.141
-16.97,-52.4,-1.131
-16.83,-51.7,-1.122
-16.69,-51.1,-1.113
-16.55,-50.5,-1.103
-16.27,-49.2,-1.085
-16.27,-48.6,-1.085
-16.13,-48,-1.075
-15.99,-47.3,-1.066
-15.85,-47.3,-1.056
-15.57,-46.1,-1.038
-15.57,-45.5,-1.038
-15.42,-44.8,-1.028
-15.28,-44.2,-1.019
-15.14,-43.6,-1.009
-15,-42.9,-1
-14.86,-42.3,-0.991
-14.72,-41.7,-0.981
-14.58,-41.1,-0.972
-14.44,-41.1,-0.962
-14.16,-39.8,-0.944
-14.3,-39.8,-0.953
-14.16,-39.8,-0.944
-14.02,-39.2,-0.934
-13.88,-38.6,-0.925
-13.74,-37.9,-0.916
-13.59,-37.3,-0.906
-13.45,-36.7,-0.897
-13.31,-36.7,-0.887
-13.17,-36,-0.878
-13.03,-35.4,-0.869
-12.89,-34.8,-0.859
-12.75,-34.2,-0.85
-12.61,-34.2,-0.84
-12.47,-33.5,-0.831
-12.33,-32.9,-0.822
-12.19,-32.9,-0.812
-12.04,-32.3,-0.803
-11.9,-31.7,-0.794
-11.76,-31.7,-0.784
-11.62,-31,-0.775
-11.48,-30.4,-0.765
-11.34,-30.4,-0.756
-11.2,-29.8,-0.747
-11.06,-29.2,-0.737
-10.92,-29.2,-0.728
-10.78,-28.5,-0.718
-10.64,-27.9,-0.709
-10.49,-27.9,-0.7
-10.35,-27.3,-0.69
-10.21,-26.7,-0.681
-10.07,-26.7,-0.671
-9.93,-26,-0.662
-9.79,-25.4,-0.653
-9.65,-25.4,-0.643
-9.51,-24.8,-0.634
-9.37,-24.1,-0.624
-9.23,-24.1,-0.615
-9.08,-23.5,-0.606
-8.94,-22.9,-0.596
-8.8,-22.9,-0.587
-8.66,-22.3,-0.578
-8.52,-21.6,-0.568
-8.38,-21.6,-0.559
-8.24,-21,-0.549
-8.1,-20.4,-0.54
-7.96,-20.4,-0.531
-7.82,-19.8,-0.521
-7.68,-19.1,-0.512
-7.53,-19.1,-0.502
-7.39,-18.5,-0.493
-7.25,-17.9,-0.484
-7.11,-17.9,-0.474
-6.97,-17.2,-0.465
-6.83,-17.2,-0.455
-6.69,-16.6,-0.446
-6.55,-16,-0.437
-6.41,-15.4,-0.427
-6.27,-15.4,-0.418
-6.13,-14.7,-0.409
-5.99,-14.1,-0.399
-5.85,-13.5,-0.39
-5.7,-13.5,-0.38
-5.56,-12.9,-0.371
-5.42,-12.2,-0.361
-5.28,-11.6,-0.352
-5.14,-11.6,-0.343
-5,-11,-0.333
-4.86,-10.3,-0.324
-4.72,-10.3,-0.315
-4.58,-9.7,-0.305
-4.44,-9.1,-0.296
-4.3,-8.5,-0.286
-4.16,-7.8,-0.277
-4.02,-7.8,-0.268
-3.88,-7.2,-0.258
-3.73,-6.6,-0.249
-3.59,-6,-0.239
-3.45,-5.3,-0.23
-3.31,-4.7,-0.221
-3.17,-4.1,-0.211
-3.03,-3.4,-0.202
-2.89,-3.4,-0.192
-2.75,-2.8,-0.183
-2.61,-2.2,-0.174
-2.47,-1.6,-0.164
-2.33,-0.9,-0.155
-2.19,-0.3,-0.146
-2.04,-0.3,-0.136
NaN,NaN,NaN
-2.04,0.3,-0.136
-1.9,0.9,-0.127
-1.76,1.6,-0.117
-1.62,2.2,-0.108
-1.48,2.8,-0.099
-1.34,2.8,-0.089
-1.2,3.4,-0.08
-0.92,4.7,-0.061
-1.06,4.7,-0.07
-0.92,4.7,-0.061
-0.78,5.3,-0.052
-0.64,6,-0.042
-0.49,6.6,-0.033
-0.35,7.2,-0.024
-0.21,7.8,-0.014
-0.07,8.5,-0.005
0.07,9.1,0.005
0.21,9.7,0.014
0.35,10.3,0.023
0.49,10.3,0.033
0.77,11.6,0.052
0.63,11.6,0.042
0.77,11.6,0.052
0.92,12.2,0.061
1.06,12.8,0.07
1.2,13.5,0.08
1.34,14.1,0.089
1.48,14.7,0.099
1.62,14.7,0.108
1.76,15.4,0.117
1.9,16,0.127
2.04,16.6,0.136
2.18,17.2,0.146
2.32,17.2,0.155
2.47,17.9,0.164
2.61,18.5,0.174
2.75,19.1,0.183
2.89,19.1,0.192
3.03,19.7,0.202
3.17,20.4,0.211
3.31,20.4,0.221
3.45,21,0.23
3.59,21.6,0.239
3.73,21.6,0.249
3.87,22.3,0.258
4.02,22.9,0.268
4.16,23.5,0.277
4.3,23.5,0.286
4.44,24.1,0.296
4.58,24.1,0.305
4.72,24.8,0.315
4.86,25.4,0.324
5,25.4,0.333
5.14,26,0.343
5.28,26,0.352
5.42,26.6,0.361
5.56,27.3,0.371
5.7,27.3,0.38
5.84,27.9,0.39
5.99,28.5,0.399
6.13,28.5,0.409
6.27,29.2,0.418
6.41,29.2,0.427
6.55,29.8,0.437
6.69,30.4,0.446
6.83,30.4,0.455
6.97,31,0.465
7.11,31,0.474
7.25,31.7,0.484
7.39,31.7,0.493
7.53,32.3,0.502
7.67,32.3,0.512
7.81,32.9,0.521
7.96,32.9,0.531
8.1,33.5,0.54
8.24,33.5,0.549
8.38,34.2,0.559
8.52,34.2,0.568
8.66,34.8,0.578
8.8,34.8,0.587
8.94,35.4,0.596
9.08,35.4,0.606
9.22,36,0.615
9.36,36,0.624
9.51,36,0.634
9.65,36.7,0.643
9.79,36.7,0.652
9.93,37.3,0.662
10.07,37.3,0.671
10.21,37.3,0.681
10.35,37.9,0.69
10.49,37.9,0.7
10.63,38.5,0.709
10.77,38.5,0.718
10.92,38.5,0.728
11.06,39.2,0.737
11.2,39.2,0.746
11.34,39.8,0.756
11.48,39.8,0.765
11.62,40.4,0.775
11.76,40.4,0.784
11.9,40.4,0.794
12.04,41.1,0.803
12.18,41.1,0.812
12.32,41.7,0.822
12.47,41.7,0.831
12.61,42.3,0.84
12.75,42.3,0.85
12.89,42.9,0.859
13.03,43.6,0.869
13.17,43.6,0.878
13.31,44.2,0.887
13.45,44.8,0.897
13.59,45.4,0.906
13.73,46.1,0.916
13.87,46.7,0.925
14.02,46.7,0.934
14.3,48,0.953
14.16,48,0.944
14.3,48,0.953
14.44,48.6,0.962
14.58,49.2,0.972
14.72,49.8,0.981
14.86,50.5,0.991
15,51.1,1
15.14,51.7,1.009
15.28,52.3,1.019
15.42,53,1.028
15.56,53,1.038
15.71,53.6,1.047
15.85,54.2,1.056
15.99,54.9,1.066
16.13,55.5,1.075
16.27,56.1,1.085
16.41,56.7,1.094
16.55,57.4,1.103
16.69,58,1.113
16.83,58.6,1.122
16.97,58.6,1.131
17.25,59.9,1.15
17.11,59.9,1.141
17.25,59.9,1.15
17.53,61.1,1.169
17.39,61.1,1.16
17.53,61.1,1.169
17.68,61.8,1.179
17.82,62.4,1.188
17.96,63,1.197
18.1,63.6,1.207
18.24,64.3,1.216
18.38,64.9,1.225
18.52,65.5,1.235
18.66,66.1,1.244
18.8,66.8,1.253
18.94,67.4,1.263
19.22,68.7,1.282
19.22,69.3,1.282
19.36,69.9,1.291
19.51,70.5,1.3
19.79,71.8,1.319
19.79,72.4,1.319
19.93,73,1.329
20.21,74.3,1.348
20.21,74.9,1.348
20.35,75.5,1.357
20.49,75.5,1.366
20.63,76.2,1.376
20.77,76.2,1.385
20.92,76.8,1.394
21.06,76.8,1.404
21.2,77.4,1.413
21.34,77.4,1.422
21.48,78,1.432
21.62,78,1.442
21.76,78.7,1.451
21.9,78.7,1.46
22.04,79.3,1.47
22.18,79.3,1.479
22.32,79.9,1.488
22.47,79.9,1.498
22.61,80.6,1.507
22.75,80.6,1.516
22.89,81.2,1.526
23.03,81.8,1.535
23.17,81.8,1.545
23.31,82.4,1.554
23.45,82.4,1.564
23.59,83.1,1.573
23.73,83.1,1.582
23.87,83.7,1.592
24.02,83.7,1.601
24.16,84.3,1.61
24.3,84.3,1.62
24.44,84.9,1.629
24.58,84.9,1.639
24.72,85.6,1.648
24.86,85.6,1.657
25,85.6,1.667
25,81.2,1.667
24.86,79.3,1.657
24.86,78,1.657
24.72,76.8,1.648
24.72,74.9,1.648
24.58,73.7,1.639
24.58,73,1.639
24.44,71.8,1.629
24.44,70.5,1.629
24.3,69.9,1.62
24.3,68,1.62
24.16,67.4,1.61
24.16,66.8,1.61
24.02,66.1,1.601
24.02,65.5,1.601
23.87,64.9,1.592
23.87,63.6,1.592
23.73,63,1.582
23.73,62.4,1.582
23.45,61.1,1.564
23.45,60.5,1.564
23.31,59.9,1.554
23.31,58.6,1.554
23.17,58,1.545
23.03,57.4,1.535
22.89,56.7,1.526
22.89,56.1,1.526
22.75,55.5,1.516
22.61,54.9,1.507
22.32,53.6,1.488
22.32,53,1.488
22.18,52.3,1.479
22.04,51.7,1.47
21.9,51.1,1.46
21.76,50.5,1.451
21.62,49.8,1.442
21.48,49.2,1.432
21.34,49.2,1.422
21.2,48.6,1.413
21.06,48,1.404
20.92,47.3,1.394
20.77,46.7,1.385
20.63,46.1,1.376
20.49,45.4,1.366
20.35,44.8,1.357
20.21,44.2,1.348
20.07,44.2,1.338
19.79,42.9,1.319
19.93,42.9,1.329
19.79,42.9,1.319
19.65,42.3,1.31
19.51,41.7,1.3
19.36,41.1,1.291
19.22,40.4,1.282
19.08,39.8,1.272
18.94,39.2,1.263
18.8,38.5,1.253
18.66,37.9,1.244
18.52,37.9,1.235
18.38,37.3,1.225
18.24,36.7,1.216
18.1,36,1.207
17.96,35.4,1.197
17.82,34.8,1.188
17.68,34.8,1.179
17.53,34.2,1.169
17.39,33.5,1.16
17.25,33.5,1.15
17.11,32.9,1.141
16.97,32.3,1.131
16.83,31.7,1.122
16.69,31,1.113
16.55,31,1.103
16.41,30.4,1.094
16.27,29.8,1.085
16.13,29.8,1.075
15.99,29.2,1.066
15.85,28.5,1.056
15.71,28.5,1.047
15.56,27.9,1.038
15.42,27.3,1.028
15.28,27.3,1.019
15.14,26.6,1.009
15,26,1
14.86,26,0.991
14.72,25.4,0.981
14.58,24.8,0.972
14.44,24.8,0.962
14.3,24.1,0.953
14.16,23.5,0.944
14.02,23.5,0.934
13.87,22.9,0.925
13.73,22.9,0.916
13.59,22.3,0.906
13.45,21.6,0.897
13.31,21.6,0.887
13.17,21,0.878
13.03,21,0.869
12.89,20.4,0.859
12.75,19.7,0.85
12.61,19.7,0.84
12.47,19.1,0.831
12.32,18.5,0.822
12.18,18.5,0.812
12.04,17.9,0.803
11.9,17.9,0.794
11.76,17.2,0.784
11.62,17.2,0.775
11.48,16.6,0.765
11.34,16.6,0.756
11.2,16,0.746
11.06,15.4,0.737
10.92,15.4,0.728
10.77,14.7,0.718
10.63,14.7,0.709
10.49,14.1,0.7
10.35,13.5,0.69
10.21,13.5,0.681
10.07,12.8,0.671
9.93,12.8,0.662
9.79,12.2,0.652
9.65,12.2,0.643
9.51,11.6,0.634
9.36,11,0.624
9.22,11,0.615
9.08,10.3,0.606
8.94,9.7,0.596
8.8,9.7,0.587
8.66,9.1,0.578
8.52,8.5,0.568
8.38,7.8,0.559
8.24,7.2,0.549
8.1,7.2,0.54
7.96,6.6,0.531
7.81,6,0.521
7.67,6,0.512
7.53,5.3,0.502
7.39,4.7,0.493
7.25,4.1,0.484
7.11,3.4,0.474
6.97,3.4,0.465
6.83,2.8,0.455
6.69,2.2,0.446
6.55,1.6,0.437
6.41,1.6,0.427
6.27,0.9,0.418
6.13,0.3,0.409
5.99,-0.3,0.399
5.84,-0.9,0.39
5.7,-1.6,0.38
5.56,-2.2,0.371
5.42,-2.8,0.361
5.28,-3.4,0.352
5.14,-4.1,0.343
5,-4.1,0.333
4.86,-4.7,0.324
4.72,-5.3,0.315
4.58,-6,0.305
4.44,-6.6,0.296
4.3,-7.2,0.286
4.16,-7.8,0.277
4.02,-7.8,0.268
3.87,-8.5,0.258
3.73,-9.1,0.249
3.59,-9.7,0.239
3.45,-10.3,0.23
3.31,-11,0.221
3.17,-11,0.211
3.03,-11.6,0.202
2.89,-12.2,0.192
2.75,-12.9,0.183
2.61,-12.9,0.174
2.47,-13.5,0.164
2.32,-14.1,0.155
2.18,-14.7,0.146
2.04,-15.4,0.136
1.9,-16,0.127
1.76,-16,0.117
1.62,-16.6,0.108
1.48,-17.2,0.099
1.34,-17.2,0.089
1.2,-17.9,0.08
1.06,-18.5,0.07
0.92,-19.1,0.061
0.77,-19.1,0.052
0.63,-19.8,0.042
0.49,-20.4,0.033
0.35,-21,0.023
0.21,-21,0.014
0.07,-21.6,0.005
-0.07,-22.3,-0.005
-0.21,-22.3,-0.014
-0.35,-22.9,-0.024
-0.49,-23.5,-0.033
-0.64,-23.5,-0.042
-0.78,-24.1,-0.052
-0.92,-24.8,-0.061
-1.06,-24.8,-0.07
-1.2,-24.8,-0.08
-1.34,-25.4,-0.089
-1.48,-26,-0.099
-1.62,-26,-0.108
-1.76,-26.7,-0.117
-1.9,-26.7,-0.127
-2.04,-26.7,-0.136
-2.19,-27.3,-0.146
-2.33,-27.9,-0.155
-2.47,-27.9,-0.164
-2.61,-28.5,-0.174
-2.75,-28.5,-0.183
-2.89,-29.2,-0.192
-3.03,-29.2,-0.202
-3.17,-29.8,-0.211
-3.31,-29.8,-0.221
-3.45,-30.4,-0.23
-3.59,-30.4,-0.239
-3.73,-31,-0.249
-3.88,-31,-0.258
-4.02,-31.7,-0.268
-4.16,-31.7,-0.277
-4.3,-32.3,-0.286
-4.44,-32.3,-0.296
-4.58,-32.9,-0.305
-4.72,-32.9,-0.315
-4.86,-33.5,-0.324
-5,-33.5,-0.333
-5.14,-34.2,-0.343
-5.28,-34.2,-0.352
-5.42,-34.8,-0.361
-5.56,-34.8,-0.371
-5.7,-35.4,-0.38
-5.85,-35.4,-0.39
-5.99,-36,-0.399
-6.13,-36,-0.409
-6.27,-36.7,-0.418
-6.41,-36.7,-0.427
-6.55,-37.3,-0.437
-6.69,-37.3,-0.446
-6.83,-37.3,-0.455
-6.97,-37.9,-0.465
-7.11,-37.9,-0.474
-7.25,-38.6,-0.484
-7.39,-38.6,-0.493
-7.53,-38.6,-0.502
-7.68,-39.2,-0.512
-7.82,-39.2,-0.521
-7.96,-39.8,-0.531
-8.1,-39.8,-0.54
-8.24,-40.4,-0.549
-8.38,-40.4,-0.559
-8.52,-41.1,-0.568
-8.66,-41.1,-0.578
-8.8,-41.7,-0.587
-8.94,-42.3,-0.596
-9.08,-42.3,-0.606
-9.23,-42.9,-0.615
-9.37,-43.6,-0.624
-9.51,-43.6,-0.634
-9.65,-44.2,-0.643
