Test unit,R2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.21,39.3,0.016
0.21,39,0.016
0.21,38.6,0.016
0.2,38.2,0.016
0.2,37.7,0.016
0.2,36.8,0.016
0.21,35.3,0.016
0.2,34.1,0.016
0.19,32.8,0.015
0.18,32.1,0.014
0.18,32,0.014
0.18,32,0.014
0.17,31.2,0.014
0.17,30.1,0.013
0.17,29,0.013
0.16,27.7,0.013
0.16,26.6,0.012
0.16,25.8,0.012
0.16,25.4,0.012
0.15,24.7,0.012
0.15,23.9,0.012
0.15,22.7,0.012
0.15,21.7,0.012
0.16,20.9,0.013
0.16,19.9,0.012
0.15,19.1,0.012
0.15,18.4,0.011
0.14,17.6,0.011
0.13,16.4,0.011
0.13,15,0.01
0.13,13.8,0.01
0.13,13,0.01
0.13,12.4,0.01
0.13,11.9,0.01
