Test unit,T2-1
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.03,32.2,-0.003
0.01,30.4,0.001
0.03,31.9,0.003
0.02,30.1,0.002
0.02,31.9,0.002
0.21,41.6,0.017
0.45,48.5,0.036
0.67,54.2,0.054
0.91,58.9,0.073
1.11,64.5,0.089
1.33,70.1,0.106
1.52,75.1,0.122
1.7,80.1,0.136
1.87,84.2,0.15
2.02,87.7,0.162
2.16,90.8,0.173
2.28,93.3,0.182
2.38,95.2,0.19
2.45,96.4,0.196
2.51,97,0.2
2.55,97.7,0.204
2.56,97.7,0.205
2.57,96.1,0.206
2.53,92.4,0.202
2.48,91.1,0.199
2.4,88.6,0.192
2.31,85.8,0.185
2.21,82.3,0.176
2.08,77.3,0.166
1.92,72,0.153
1.76,66.1,0.14
1.57,59.2,0.126
1.38,52,0.11
1.19,43.5,0.095
0.96,34.7,0.077
0.75,24.7,0.06
0.52,15,0.042
0.28,4.1,0.022
0.04,-5.3,0.003
-0.19,-12.5,-0.015
-0.43,-18.5,-0.034
-0.66,-23.8,-0.053
-0.88,-28.8,-0.07
-1.09,-33.8,-0.087
-1.31,-38.5,-0.104
-1.51,-43.2,-0.121
-1.68,-47.3,-0.134
-1.86,-51,-0.149
-1.99,-52.9,-0.159
-2.15,-57,-0.172
-2.25,-59.2,-0.18
-2.34,-61,-0.188
-2.42,-62.3,-0.194
-2.47,-62.9,-0.198
-2.51,-63.2,-0.2
-2.52,-62.9,-0.201
-2.52,-60.1,-0.201
-2.47,-56.7,-0.198
-2.42,-54.8,-0.194
-2.34,-52.6,-0.188
-2.25,-49.5,-0.18
-2.13,-45.4,-0.17
-2,-40.7,-0.16
-1.85,-35.4,-0.148
-1.68,-29.7,-0.134
-1.5,-24.1,-0.12
-1.31,-17.2,-0.104
-1.08,-9.7,-0.087
-0.88,-1.3,-0.07
-0.64,7.5,-0.051
-0.43,16.9,-0.034
-0.28,22.5,-0.022
0.05,34.7,0.004
0.02,28.5,0.002
0.02,31.9,0.002
0.03,31.9,0.003
0.02,30.7,0.002
0.21,41,0.017
0.45,47.9,0.036
0.69,53.5,0.055
0.9,57.9,0.072
1.11,63.6,0.089
1.33,68.9,0.106
1.53,73.6,0.122
1.7,78.6,0.136
1.88,82.3,0.151
2.03,86.4,0.163
2.16,89.2,0.173
2.28,91.7,0.182
2.38,93.9,0.19
2.45,95.2,0.196
2.52,96.1,0.201
2.55,96.1,0.204
2.56,96.7,0.205
2.56,94.9,0.205
2.53,91.7,0.202
2.47,89.8,0.198
2.4,87.3,0.192
2.3,84.5,0.184
2.19,81.1,0.176
2.07,76.1,0.165
1.91,70.8,0.152
1.75,64.2,0.14
1.56,57.6,0.125
1.38,50.7,0.11
1.18,42.9,0.094
0.95,34.1,0.076
0.74,24.4,0.059
0.51,14.7,0.041
0.27,4.1,0.021
0.04,-5,0.003
-0.2,-11.9,-0.016
-0.44,-17.5,-0.035
-0.66,-21.9,-0.053
