Test unit,E4
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.21,36.1,0.105
1.2,35,0.104
1.19,34,0.103
1.17,33,0.102
1.16,31.8,0.101
1.15,30.7,0.1
1.15,29.5,0.1
1.13,28.7,0.098
1.11,27.8,0.097
1.1,26.8,0.095
1.08,25.8,0.094
1.07,24.7,0.093
1.06,23.7,0.092
1.04,22.8,0.091
1.04,21.7,0.09
1.02,20.6,0.089
1.01,19.6,0.088
1,18.5,0.087
1,17.4,0.087
0.98,16.4,0.085
0.96,15.4,0.084
0.95,14.4,0.082
0.93,13.4,0.081
0.91,12.4,0.079
0.9,11.5,0.078
0.88,10.5,0.077
0.87,9.4,0.076
0.86,8.3,0.075
0.85,7.3,0.073
0.83,6.2,0.072
0.81,5.2,0.071
0.82,4,0.071
0.8,3,0.069
0.78,2.2,0.068
0.76,1.3,0.066
0.74,0.4,0.064
0.73,-0.6,0.063
0.71,-1.6,0.062
0.7,-2.9,0.061
0.69,-4,0.06
0.68,-5.2,0.059
0.66,-6.8,0.057
0.64,-8.4,0.056
0.62,-9.9,0.054
0.6,-11.2,0.052
0.58,-12.4,0.051
0.57,-13.5,0.05
0.54,-13.8,0.047
0.52,-14.7,0.045
0.51,-15.8,0.044
0.49,-16.9,0.043
0.48,-18,0.041
0.46,-19.1,0.04
0.44,-20.2,0.038
0.42,-21.2,0.036
0.4,-22.2,0.035
0.39,-23.2,0.034
0.38,-24.3,0.033
0.36,-25.3,0.031
0.35,-26.3,0.031
0.34,-27.4,0.03
0.32,-28.3,0.028
0.3,-29.2,0.026
0.28,-30.2,0.025
0.27,-31.2,0.023
0.25,-32.1,0.022
0.23,-33.1,0.02
0.21,-34.1,0.019
0.19,-35.1,0.017
0.17,-36.2,0.015
0.16,-37.1,0.014
0.15,-38.1,0.013
0.13,-39.1,0.011
0.12,-40.3,0.011
0.1,-41.2,0.009
0.07,-42,0.006
0.05,-42.9,0.005
0.03,-43.7,0.003
0.02,-44.7,0.001
-0,-45.7,-0
-0.02,-46.7,-0.002
-0.04,-47.6,-0.003
-0.06,-48.5,-0.005
-0.07,-49.3,-0.006
-0.08,-50.5,-0.007
-0.1,-51.4,-0.008
-0.12,-52.2,-0.011
-0.15,-52.7,-0.013
-0.17,-53.4,-0.015
-0.19,-54.4,-0.017
-0.21,-55.3,-0.018
-0.23,-56.1,-0.02
-0.26,-56.7,-0.022
-0.26,-57.9,-0.023
-0.3,-58.4,-0.026
-0.32,-59.2,-0.028
-0.34,-59.8,-0.03
-0.37,-60.3,-0.032
-0.4,-60.9,-0.035
-0.42,-61.7,-0.036
-0.45,-62.1,-0.039
-0.48,-62.7,-0.042
