Test unit,C6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.34,-92.5,-0.025
-0.36,-94.4,-0.026
-0.38,-96.2,-0.028
-0.39,-98.1,-0.029
-0.39,-99.9,-0.029
-0.38,-101.7,-0.028
-0.4,-103.3,-0.03
-0.41,-105.1,-0.031
-0.44,-106.7,-0.032
-0.45,-108.5,-0.033
-0.45,-110.4,-0.034
-0.47,-111.9,-0.035
-0.48,-113.6,-0.036
-0.47,-115.3,-0.035
-0.48,-113.5,-0.035
-0.49,-111.6,-0.036
-0.5,-109.8,-0.037
-0.5,-107.8,-0.037
-0.51,-106,-0.038
-0.51,-104.2,-0.038
-0.51,-102.5,-0.037
-0.49,-100.4,-0.037
-0.52,-98.5,-0.038
-0.51,-96.7,-0.037
-0.5,-94.9,-0.037
-0.49,-93,-0.036
-0.47,-91.2,-0.035
-0.46,-89.3,-0.034
-0.44,-87.3,-0.033
-0.42,-85.5,-0.031
-0.43,-83.5,-0.032
-0.43,-81.7,-0.031
-0.43,-79.9,-0.032
-0.42,-78.1,-0.031
-0.41,-76.3,-0.03
-0.4,-74.3,-0.029
-0.4,-72.5,-0.029
-0.39,-70.6,-0.029
-0.37,-68.8,-0.027
-0.36,-67.2,-0.027
-0.37,-65.3,-0.027
-0.36,-63.4,-0.027
-0.37,-61.4,-0.028
-0.37,-59.4,-0.027
-0.37,-57.6,-0.027
-0.36,-55.6,-0.026
-0.34,-53.7,-0.026
-0.33,-51.7,-0.024
-0.31,-50,-0.023
-0.31,-48.2,-0.023
-0.29,-46.5,-0.022
-0.27,-44.7,-0.02
-0.26,-42.6,-0.02
-0.26,-40.6,-0.019
-0.25,-38.8,-0.019
-0.26,-36.8,-0.02
-0.27,-34.9,-0.02
-0.27,-32.9,-0.02
-0.25,-31,-0.019
-0.24,-29,-0.018
-0.22,-27.1,-0.016
-0.21,-25.1,-0.015
-0.19,-23.1,-0.014
-0.19,-21.3,-0.014
-0.16,-19.5,-0.012
-0.15,-17.6,-0.011
-0.16,-15.6,-0.012
-0.16,-13.8,-0.012
-0.16,-11.9,-0.012
-0.15,-10,-0.011
-0.14,-8.1,-0.011
-0.14,-6.3,-0.01
-0.13,-4.4,-0.01
-0.12,-2.5,-0.009
-0.09,-0.8,-0.007
-0.06,1.1,-0.005
-0.05,3,-0.004
-0.04,5,-0.003
-0.03,7.2,-0.002
-0.02,9.2,-0.001
-0,11,-0
0.01,13.7,0.001
0.03,16.1,0.002
0.04,18.6,0.003
0.06,20.8,0.005
0.08,22.8,0.006
0.09,24.8,0.007
0.12,26.8,0.009
0.12,28.7,0.009
0.13,30.5,0.01
0.15,32.3,0.011
0.17,34.2,0.013
0.18,36.1,0.013
0.18,38,0.013
0.19,39.8,0.014
0.2,41.6,0.015
0.21,43.3,0.016
0.22,45.3,0.017
0.23,47.3,0.017
0.24,49.4,0.018
0.25,51.3,0.019
0.24,53.3,0.018
0.25,55.1,0.018
0.27,57,0.02
0.28,58.7,0.021
0.29,60.8,0.021
0.3,62.8,0.022
0.3,64.6,0.022
0.31,66.5,0.023
0.32,68.3,0.024
0.33,70.2,0.025
0.34,72.2,0.025
0.35,74.2,0.026
0.36,76,0.027
0.39,77.5,0.029
0.39,79.5,0.029
0.4,81.5,0.029
0.4,83.3,0.03
0.41,85.1,0.031
0.43,86.9,0.031
0.44,88.6,0.032
0.45,90.4,0.033
0.47,92,0.035
0.46,93.8,0.034
0.49,95.6,0.036
0.51,97.4,0.037
0.53,99.1,0.039
0.55,100.8,0.04
0.55,98.9,0.041
0.56,96.7,0.041
0.56,94.8,0.042
0.55,92.9,0.041
0.55,91.1,0.041
0.54,89.2,0.04
0.55,86.8,0.041
0.53,84.9,0.039
0.51,83,0.038
0.5,81,0.037
0.49,79,0.036
0.48,77.1,0.035
0.47,75.3,0.035
0.46,73.4,0.034
0.44,71.6,0.033
0.45,69.6,0.033
0.43,67.7,0.032
0.41,65.8,0.031
0.4,63.9,0.03
0.4,61.8,0.029
0.39,59.8,0.029
0.38,57.9,0.028
0.37,55.9,0.028
0.37,53.9,0.027
0.36,51.8,0.027
0.35,49.9,0.026
0.36,47.9,0.027
0.34,46.2,0.025
0.33,44.1,0.025
0.33,42.1,0.024
0.32,40.3,0.023
0.31,38.3,0.023
0.3,36.5,0.022
0.29,34.6,0.021
0.28,32.6,0.021
0.28,30.5,0.02
0.27,28.4,0.02
0.27,26.6,0.02
0.26,24.5,0.02
0.27,22.6,0.02
0.26,20.8,0.019
0.24,19,0.018
0.23,17,0.017
0.21,15.3,0.015
0.2,13.4,0.015
0.2,11.6,0.015
0.21,9.8,0.015
0.19,7.8,0.014
0.19,5.9,0.014
0.18,4,0.013
0.19,2,0.014
0.17,0.3,0.013
0.15,-1.6,0.011
0.14,-3.5,0.011
0.14,-5.3,0.01
0.13,-7.3,0.009
0.12,-9.4,0.009
0.11,-11.6,0.008
0.09,-14.2,0.007
0.07,-17,0.005
0.06,-18.7,0.004
0.04,-21,0.003
0.02,-22.9,0.001
-0,-24.7,-0
-0.02,-26.6,-0.001
