Test unit,RS4,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.794142511,-29.96,-0.049633907
-0.830397034,-30.88,-0.051899815
-0.86530891,-31.74,-0.054081807
-0.897152504,-32.62,-0.056072032
-0.942441846,-33.47,-0.058902615
-0.975478638,-34.33,-0.060967415
-1.013108328,-35.17,-0.063319271
-1.055243503,-35.99,-0.065952719
-1.081340106,-36.82,-0.067583757
-1.123061743,-37.61,-0.070191359
-1.166387575,-38.38,-0.072899223
-1.208278314,-39.13,-0.075517395
-1.237806064,-39.82,-0.077362879
-1.272825704,-39.99,-0.079551607
-1.281097599,-38.63,-0.0800686
-1.262861344,-38.63,-0.078928834
-1.195982245,-35.09,-0.07474889
-1.126051689,-32.27,-0.070378231
-1.060099535,-29.68,-0.066256221
-0.991560355,-27.29,-0.061972522
-0.928248588,-24.9,-0.058015537
-0.858337679,-22.55,-0.053646105
-0.800366404,-20.36,-0.0500229
-0.726875349,-18.2,-0.045429709
-0.651988889,-16.14,-0.040749306
-0.582368404,-14.12,-0.036398025
-0.510889885,-12.12,-0.031930618
-0.447610928,-10.1,-0.027975683
-0.387188713,-8.267,-0.024199295
-0.32082059,-6.521,-0.020051287
-0.250512469,-4.758,-0.015657029
-0.191496027,-3.068,-0.011968502
-0.123656256,-1.433,-0.007728516
-0.062125013,0.1049,-0.003882813
-0.006460776,1.586,-0.000403799
0.037188935,2.893,0.002324308
0.104111682,4.247,0.00650698
0.175013717,5.676,0.010938357
0.236902082,7.197,0.01480638
0.303370593,8.586,0.018960662
0.370292865,10.08,0.023143304
0.432944816,11.55,0.027059051
0.495896618,13.07,0.030993539
0.571762269,14.57,0.035735142
0.63795569,16.09,0.039872231
0.714857155,17.61,0.044678572
0.777729957,19.1,0.048608122
0.854637855,20.62,0.053414866
0.92221446,22.11,0.057638404
0.991193944,23.63,0.061949621
1.06197274,25.17,0.066373296
1.135975857,26.74,0.070998491
1.196702702,28.3,0.074793919
1.276398397,29.88,0.0797749
1.341062315,31.49,0.083816395
1.409644557,33.03,0.088102785
1.47982518,34.49,0.092489074
