Test unit,test 6
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.42,-6.3,-0.028
-0.34,-5.9,-0.023
-0.34,-4.1,-0.023
-0.25,-3.6,-0.017
-0.25,-1.4,-0.017
-0.17,-1,-0.011
-0.17,-0.1,-0.011
NaN,NaN,NaN
-0.17,0.4,-0.011
-0.17,1.7,-0.011
-0.09,2.2,-0.006
-0.09,4.9,-0.006
-0,5.3,-0
-0,7.1,-0
0.09,7.5,0.006
0.09,9.8,0.006
0.17,10.2,0.011
0.17,12.5,0.011
0.25,12.9,0.017
0.25,15.1,0.017
0.34,15.6,0.022
0.34,17.4,0.022
0.42,17.8,0.028
0.42,19.6,0.028
0.51,20.1,0.034
0.51,22.3,0.034
0.59,22.7,0.039
0.59,24.5,0.039
0.67,25,0.045
0.67,26.8,0.045
0.76,27.2,0.051
0.76,29.5,0.051
0.84,29.9,0.056
0.84,31.2,0.056
0.93,31.7,0.062
0.93,33.5,0.062
1.01,33.9,0.067
1.01,30.3,0.067
0.93,29.9,0.062
0.93,26.8,0.062
0.84,26.3,0.056
0.84,23.6,0.056
0.76,23.2,0.051
0.76,20.1,0.051
0.67,19.6,0.045
0.67,16.9,0.045
0.59,16.5,0.039
0.59,13.8,0.039
0.51,13.3,0.034
0.51,11.1,0.034
0.42,10.7,0.028
0.42,8.4,0.028
0.34,8,0.022
0.34,5.3,0.022
0.25,4.9,0.017
0.25,2.6,0.017
0.17,2.2,0.011
0.17,0.4,0.011
0.09,-0.1,0.006
0.09,-2.3,0.006
-0,-2.8,-0
-0,-5,-0
-0.09,-5.4,-0.006
-0.09,-7.7,-0.006
-0.17,-8.1,-0.011
-0.17,-10.4,-0.011
-0.25,-10.8,-0.017
-0.25,-13,-0.017
-0.34,-13.5,-0.023
-0.34,-15.3,-0.023
-0.42,-15.7,-0.028
-0.42,-17.5,-0.028
-0.51,-18,-0.034
-0.51,-20.2,-0.034
-0.59,-20.6,-0.039
-0.59,-22.4,-0.039
-0.67,-22.9,-0.045
-0.67,-24.7,-0.045
-0.76,-25.1,-0.051
-0.76,-26.5,-0.051
-0.84,-26.9,-0.056
-0.84,-28.7,-0.056
-0.93,-29.1,-0.062
-0.93,-30.5,-0.062
-1.01,-30.9,-0.067
-1.01,-28.7,-0.067
-0.93,-27.8,-0.062
-0.93,-24.7,-0.062
-0.84,-24.2,-0.056
-0.84,-21.1,-0.056
-0.76,-20.6,-0.051
-0.76,-18.4,-0.051
-0.67,-18,-0.045
-0.67,-15.3,-0.045
-0.59,-14.8,-0.039
-0.59,-12.1,-0.039
-0.51,-11.7,-0.034
-0.51,-9.5,-0.034
-0.42,-9,-0.028
-0.42,-6.8,-0.028
-0.34,-6.3,-0.023
-0.34,-4.1,-0.023
-0.25,-3.6,-0.017
-0.25,-1.4,-0.017
-0.17,-1,-0.011
-0.17,-0.1,-0.011
NaN,NaN,NaN
-0.17,0.4,-0.011
-0.17,1.7,-0.011
-0.09,2.2,-0.006
-0.09,4.4,-0.006
-0,4.9,-0
-0,7.1,-0
0.09,7.5,0.006
0.09,9.8,0.006
0.17,10.2,0.011
0.17,12.5,0.011
0.25,12.9,0.017
0.25,14.7,0.017
0.34,15.1,0.022
0.34,16.9,0.022
0.42,17.4,0.028
0.42,19.2,0.028
0.51,19.6,0.034
0.51,21.8,0.034
0.59,22.3,0.039
0.59,24.5,0.039
0.67,25,0.045
0.67,26.8,0.045
0.76,27.2,0.051
0.76,29,0.051
0.84,29.5,0.056
0.84,31.2,0.056
0.93,31.7,0.062
0.93,33.5,0.062
1.01,33.9,0.067
1.01,34.8,0.067
1.09,35.3,0.073
1.09,36.6,0.073
1.26,37.5,0.084
1.26,38.4,0.084
1.43,39.3,0.096
1.43,40.2,0.096
1.52,39.7,0.101
1.52,37.1,0.101
1.43,36.6,0.096
1.43,33.9,0.096
1.35,33.5,0.09
1.35,31.2,0.09
1.26,30.8,0.084
1.26,28.1,0.084
1.18,27.7,0.079
1.18,25.4,0.079
1.09,25,0.073
1.09,22.7,0.073
1.01,22.3,0.067
1.01,20.1,0.067
0.93,19.6,0.062
0.93,16.9,0.062
0.84,16.5,0.056
0.84,14.7,0.056
0.76,14.2,0.051
0.76,12.5,0.051
0.67,12,0.045
0.67,9.8,0.045
0.59,9.3,0.039
0.59,7.1,0.039
0.51,6.6,0.034
0.51,4.9,0.034
0.42,4.4,0.028
0.42,2.6,0.028
0.34,2.2,0.022
0.34,-0.1,0.022
0.25,-0.5,0.017
0.25,-2.3,0.017
0.17,-2.8,0.011
0.17,-4.5,0.011
0.09,-5,0.006
0.09,-7.2,0.006
-0,-7.7,-0
-0,-9.5,-0
-0.09,-9.9,-0.006
-0.09,-11.7,-0.006
-0.17,-12.1,-0.011
-0.17,-13.9,-0.011
-0.25,-14.4,-0.017
-0.25,-16.6,-0.017
-0.34,-17.1,-0.023
-0.34,-18.4,-0.023
-0.42,-18.8,-0.028
-0.42,-21.1,-0.028
-0.51,-21.5,-0.034
-0.51,-22.9,-0.034
-0.59,-23.3,-0.039
-0.59,-25.1,-0.039
-0.67,-25.6,-0.045
-0.67,-26.9,-0.045
-0.76,-27.3,-0.051
-0.76,-29.1,-0.051
-0.84,-29.6,-0.056
-0.84,-30.9,-0.056
-0.93,-31.4,-0.062
-0.93,-32.3,-0.062
-1.01,-32.7,-0.067
-1.01,-33.6,-0.067
-1.09,-34.1,-0.073
-1.09,-35,-0.073
-1.27,-35.8,-0.084
-1.27,-36.7,-0.084
-1.35,-37.2,-0.09
-1.35,-36.7,-0.09
-1.35,-37.2,-0.09
-1.52,-38.1,-0.101
-1.43,-38.1,-0.096
-1.52,-35.8,-0.101
-1.43,-35,-0.096
-1.43,-32.7,-0.096
-1.35,-32.3,-0.09
-1.35,-29.6,-0.09
-1.27,-29.1,-0.084
-1.27,-26.9,-0.084
-1.18,-26.5,-0.079
-1.18,-24.2,-0.079
-1.09,-23.8,-0.073
-1.09,-22,-0.073
-1.01,-21.5,-0.067
-1.01,-19.3,-0.067
-0.93,-18.8,-0.062
-0.93,-17.1,-0.062
-0.84,-16.6,-0.056
-0.84,-14.8,-0.056
-0.76,-14.4,-0.051
-0.76,-12.1,-0.051
-0.67,-11.7,-0.045
-0.67,-9.9,-0.045
-0.59,-9.5,-0.039
-0.59,-7.7,-0.039
-0.51,-7.2,-0.034
-0.51,-5.4,-0.034
-0.42,-5,-0.028
-0.42,-3.2,-0.028
-0.34,-2.8,-0.023
-0.34,-1,-0.023
-0.25,-0.5,-0.017
-0.25,-0.1,-0.017
NaN,NaN,NaN
-0.25,-0.1,-0.017
-0.25,1.7,-0.017
-0.17,2.2,-0.011
-0.17,4.9,-0.011
-0.09,5.3,-0.006
-0.09,7.1,-0.006
-0,7.5,-0
-0,9.3,-0
0.09,9.8,0.006
0.09,11.6,0.006
0.17,12,0.011
0.17,13.8,0.011
0.25,14.2,0.017
0.25,16,0.017
0.34,16.5,0.022
0.34,18.3,0.022
0.42,18.7,0.028
0.42,20.5,0.028
0.51,21,0.034
0.51,22.7,0.034
0.59,23.2,0.039
0.59,25,0.039
0.67,25.4,0.045
0.67,26.8,0.045
0.76,27.2,0.051
0.76,29,0.051
0.84,29.5,0.056
0.84,30.8,0.056
0.93,31.2,0.062
0.93,32.6,0.062
1.01,33,0.067
1.01,34.4,0.067
1.09,34.8,0.073
1.09,36.2,0.073
1.18,36.6,0.079
1.18,37.5,0.079
1.26,38,0.084
1.26,38.8,0.084
1.35,39.3,0.09
1.35,40.2,0.09
1.52,41.1,0.101
1.43,41.1,0.096
1.52,38.4,0.101
1.43,38,0.096
1.43,35.3,0.096
1.35,34.8,0.09
1.35,32.1,0.09
1.26,31.7,0.084
1.26,29.5,0.084
1.18,29,0.079
1.18,26.8,0.079
1.09,26.3,0.073
1.09,24.1,0.073
1.01,23.6,0.067
1.01,21.4,0.067
0.93,21,0.062
0.93,18.7,0.062
0.84,18.3,0.056
0.84,16,0.056
0.76,15.6,0.051
0.76,13.8,0.051
0.67,13.3,0.045
0.67,11.1,0.045
0.59,10.7,0.039
0.59,8.4,0.039
0.51,8,0.034
0.51,6.2,0.034
0.42,5.7,0.028
0.42,4.4,0.028
0.34,4,0.022
0.34,2.2,0.022
0.25,1.7,0.017
0.25,-0.1,0.017
0.17,-0.5,0.011
0.17,-2.3,0.011
0.09,-2.8,0.006
0.09,-4.5,0.006
-0,-5,-0
-0,-7.2,-0
-0.09,-7.7,-0.006
-0.09,-9.5,-0.006
-0.17,-9.9,-0.011
-0.17,-11.7,-0.011
-0.25,-12.1,-0.017
-0.25,-13.9,-0.017
-0.34,-14.4,-0.023
-0.34,-16.2,-0.023
-0.42,-16.6,-0.028
-0.42,-18,-0.028
-0.51,-18.4,-0.034
-0.51,-20.2,-0.034
-0.59,-20.6,-0.039
-0.59,-22.4,-0.039
-0.67,-22.9,-0.045
-0.67,-24.2,-0.045
-0.76,-24.7,-0.051
-0.76,-26,-0.051
-0.84,-26.5,-0.056
-0.84,-27.8,-0.056
-0.93,-28.2,-0.062
-0.93,-29.6,-0.062
-1.01,-30,-0.067
-1.01,-31.4,-0.067
-1.09,-31.8,-0.073
-1.09,-32.7,-0.073
-1.18,-33.2,-0.079
-1.18,-34.5,-0.079
-1.27,-35,-0.084
-1.27,-35.8,-0.084
-1.35,-36.3,-0.09
-1.35,-36.7,-0.09
-1.52,-37.6,-0.101
-1.43,-37.6,-0.096
-1.52,-36.7,-0.101
-1.43,-36.3,-0.096
-1.43,-32.7,-0.096
-1.35,-32.3,-0.09
-1.35,-30,-0.09
-1.27,-29.6,-0.084
-1.27,-27.3,-0.084
-1.18,-26.9,-0.079
-1.18,-24.7,-0.079
-1.09,-24.2,-0.073
-1.09,-22,-0.073
-1.01,-21.5,-0.067
-1.01,-19.8,-0.067
-0.93,-19.3,-0.062
-0.93,-17.5,-0.062
-0.84,-17.1,-0.056
-0.84,-15.3,-0.056
-0.76,-14.8,-0.051
-0.76,-12.6,-0.051
-0.67,-12.1,-0.045
-0.67,-10.4,-0.045
-0.59,-9.9,-0.039
-0.59,-8.1,-0.039
-0.51,-7.7,-0.034
-0.51,-5.9,-0.034
-0.42,-5.4,-0.028
-0.42,-3.2,-0.028
-0.34,-2.8,-0.023
-0.34,-1,-0.023
-0.25,-0.5,-0.017
-0.25,-0.1,-0.017
NaN,NaN,NaN
-0.25,0.4,-0.017
-0.25,1.3,-0.017
-0.17,1.7,-0.011
-0.17,4,-0.011
-0.09,4.4,-0.006
-0.09,6.2,-0.006
-0,6.6,-0
-0,8.9,-0
0.09,9.3,0.006
0.09,10.7,0.006
0.17,11.1,0.011
0.17,13.3,0.011
0.25,13.8,0.017
0.25,15.1,0.017
0.34,15.6,0.022
0.34,17.4,0.022
0.42,17.8,0.028
0.42,19.6,0.028
0.51,20.1,0.034
0.51,21.8,0.034
0.59,22.3,0.039
0.59,24.1,0.039
0.67,24.5,0.045
0.67,25.9,0.045
0.76,26.3,0.051
0.76,28.1,0.051
0.84,28.6,0.056
0.84,29.9,0.056
0.93,30.3,0.062
0.93,32.1,0.062
1.01,32.6,0.067
1.01,33.9,0.067
1.09,34.4,0.073
1.09,35.7,0.073
1.18,36.2,0.079
1.18,37.5,0.079
1.26,38,0.084
1.26,38.8,0.084
1.35,39.3,0.09
1.35,40.2,0.09
1.52,41.1,0.101
1.52,41.5,0.101
1.52,36.2,0.101
1.43,35.7,0.096
1.43,33,0.096
1.35,32.6,0.09
1.35,30.3,0.09
1.26,29.9,0.084
1.26,27.2,0.084
1.18,26.8,0.079
1.18,24.5,0.079
1.09,24.1,0.073
1.09,21.8,0.073
1.01,21.4,0.067
1.01,19.6,0.067
0.93,19.2,0.062
0.93,16.9,0.062
0.84,16.5,0.056
0.84,14.7,0.056
0.76,14.2,0.051
0.76,12,0.051
0.67,11.6,0.045
0.67,9.8,0.045
0.59,9.3,0.039
0.59,7.1,0.039
0.51,6.6,0.034
0.51,5.3,0.034
0.42,4.9,0.028
0.42,3.1,0.028
0.34,2.6,0.022
0.34,0.8,0.022
0.25,0.4,0.017
0.25,-1.4,0.017
0.17,-1.9,0.011
0.17,-3.6,0.011
