Test unit,PG2
Reference,Almeida et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-2.13,-11.4,-0.082
-2.01,-9.8,-0.077
-1.94,-7.8,-0.075
-1.82,-6.1,-0.07
-1.7,-4.7,-0.065
-1.52,-2.9,-0.058
-1.4,-2.1,-0.054
-1.4,-0.8,-0.054
-1.33,0.6,-0.051
-1.22,1.6,-0.047
-1.08,3.2,-0.041
-0.89,5.8,-0.034
-0.75,7.5,-0.029
-0.61,9.8,-0.023
-0.32,12.1,-0.012
-0.14,14.4,-0.005
0.07,16.4,0.003
0.28,19.4,0.011
0.51,22.1,0.019
0.8,24.5,0.031
1.07,27.1,0.041
1.16,29.1,0.045
1.49,32.1,0.057
2.09,37.6,0.08
2.34,39.1,0.09
2.57,40.3,0.099
2.79,41.6,0.107
3,42.1,0.115
3.56,42.1,0.137
3.74,41.1,0.144
3.8,40.5,0.146
3.74,38.4,0.144
3.65,36.2,0.14
3.58,34,0.138
3.47,32,0.133
3.29,29.7,0.127
3.17,28.2,0.122
3.03,25.4,0.116
2.84,23.2,0.109
2.66,20.8,0.102
2.58,18.9,0.099
2.39,16.7,0.092
2.16,14.6,0.083
1.95,12,0.075
1.79,9.8,0.069
1.67,8.5,0.064
1.49,6.4,0.057
1.03,2,0.04
0.88,0.1,0.034
0.73,-1.6,0.028
0.68,-2.5,0.026
0.57,-3.4,0.022
0.4,-5.2,0.015
0.15,-7.8,0.006
-0.16,-10.3,-0.006
-0.25,-12.5,-0.009
-0.55,-15.4,-0.021
-0.93,-18,-0.036
-1.04,-19.7,-0.04
-1.39,-22.4,-0.053
-1.59,-23.2,-0.061
-1.85,-24.9,-0.071
-2.05,-26.2,-0.079
-2.25,-27.5,-0.086
-2.48,-28.9,-0.095
-2.72,-29.9,-0.105
-2.89,-30.7,-0.111
-3.12,-31.8,-0.12
-3.17,-31.8,-0.122
-3.26,-32.3,-0.126
-3.59,-31.3,-0.138
-3.44,-27.6,-0.132
-3.28,-23.3,-0.126
-3.04,-19.4,-0.117
-2.82,-15.6,-0.108
-2.47,-11.9,-0.095
-2.25,-9,-0.087
-2.01,-6,-0.077
-1.73,-2.9,-0.066
-1.7,-2.3,-0.065
-1.59,-0.4,-0.061
-1.37,1.5,-0.053
-1.14,4.5,-0.044
-0.93,6.9,-0.036
-0.52,10.3,-0.02
-0.25,13.3,-0.01
0.13,17.4,0.005
0.43,20.7,0.016
0.78,23.8,0.03
1.19,27.7,0.046
1.6,31.3,0.061
2.11,36,0.081
2.5,38.4,0.096
2.82,40.3,0.109
3.08,42.1,0.119
3.37,44,0.129
3.74,44,0.144
3.73,42.6,0.143
3.65,39.2,0.14
3.49,35.3,0.134
3.24,31.6,0.125
3,28.4,0.115
2.76,24.7,0.106
2.5,22,0.096
2.17,17.5,0.083
1.89,14.7,0.073
1.68,11.4,0.065
1.33,9,0.051
1.16,6.1,0.045
0.81,2.9,0.031
0.55,0.2,0.021
0.28,-2.1,0.011
0.22,-3.4,0.009
-0,-5.5,-0
-0.01,-5.6,-0.001
-0.07,-6.1,-0.003
-0.22,-8,-0.009
-0.55,-11.1,-0.021
-0.74,-13.4,-0.029
-1.02,-15.9,-0.039
-1.33,-18.4,-0.051
-1.61,-21,-0.062
-1.9,-23.3,-0.073
-2.1,-24.8,-0.081
-2.34,-26.3,-0.09
-2.6,-28.1,-0.1
-2.83,-29.4,-0.109
-3.03,-30.7,-0.116
-3.13,-31.2,-0.12
-3.23,-31.7,-0.124
-3.5,-30.6,-0.135
-3.44,-27.5,-0.132
-3.29,-24.4,-0.127
-3.18,-21.9,-0.122
-3.09,-20.1,-0.119
-2.88,-17.5,-0.111
-2.75,-15.7,-0.106
-2.49,-12.1,-0.096
-2.25,-9.3,-0.087
-2.08,-7.4,-0.08
-1.84,-4.5,-0.071
-1.67,-2.4,-0.064
-1.49,-0.3,-0.057
-1.4,0.8,-0.054
-1.21,3.1,-0.046
-1.05,5,-0.04
-0.63,9,-0.024
-0.44,11.2,-0.017
-0.09,14.2,-0.003
0.14,16.9,0.005
0.42,19.5,0.016
0.62,21.9,0.024
1.11,26.2,0.043
1.3,28.5,0.05
1.58,31,0.061
1.93,34.2,0.074
2.25,37,0.086
2.55,39.7,0.098
2.76,41.1,0.106
2.97,42.4,0.114
3.22,43.8,0.124
3.52,45.3,0.135
3.74,44.5,0.144
3.65,41.5,0.14
3.59,39,0.138
3.42,36.7,0.132
3.32,33.9,0.128
3.09,31.5,0.119
3,29.5,0.115
2.78,26.8,0.107
2.58,24.4,0.099
2.4,22,0.092
2.23,19.9,0.086
2,17.4,0.077
1.82,15.1,0.07
1.49,11.4,0.057
1.26,9.3,0.048
