Test unit,CT01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.91,86.1,0.036
0.91,86.6,0.037
0.92,87.1,0.037
0.93,87.6,0.037
0.93,88.1,0.037
0.94,88.6,0.037
0.94,89.1,0.038
0.95,89.7,0.038
0.95,90.3,0.038
0.96,90.8,0.038
0.96,91.4,0.039
0.97,91.9,0.039
0.98,92.5,0.039
0.98,93.1,0.039
0.99,93.6,0.04
0.99,94.2,0.04
1,94.8,0.04
1.01,95.4,0.04
1.01,96,0.041
1.02,96.6,0.041
1.02,97.1,0.041
1.03,97.6,0.041
1.03,98.1,0.041
1.04,98.6,0.041
1.04,99.1,0.042
1.05,99.6,0.042
1.05,100.2,0.042
1.06,100.7,0.042
1.07,101.2,0.043
1.07,101.8,0.043
1.08,102.3,0.043
1.08,102.8,0.043
1.09,103.3,0.043
1.09,103.8,0.044
1.1,104.3,0.044
1.1,104.8,0.044
1.11,105.3,0.044
1.12,105.8,0.045
1.12,106.3,0.045
1.13,106.8,0.045
1.13,107.3,0.045
1.14,107.8,0.046
1.14,108.4,0.046
1.15,108.9,0.046
1.16,109.5,0.046
1.16,109.9,0.046
1.17,110.4,0.047
1.17,110.6,0.047
1.18,110.3,0.047
1.18,109.7,0.047
1.17,108.8,0.047
1.17,107.8,0.047
1.17,106.9,0.047
1.17,106,0.047
1.17,105.1,0.047
1.16,104.3,0.046
1.16,103.6,0.046
1.15,102.8,0.046
1.14,102.1,0.046
1.14,101.3,0.046
1.13,100.6,0.045
1.13,99.8,0.045
1.12,99,0.045
1.12,98.2,0.045
1.11,97.4,0.044
1.1,96.6,0.044
1.1,95.9,0.044
1.09,95.1,0.044
1.09,94.3,0.044
1.08,93.6,0.043
1.08,92.9,0.043
1.07,92.2,0.043
1.07,91.5,0.043
1.06,90.8,0.042
1.06,90.1,0.042
1.05,89.4,0.042
1.04,88.7,0.042
1.04,87.9,0.042
1.03,87.2,0.041
1.03,86.4,0.041
1.02,85.6,0.041
