Test unit,T2-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.94,-71.4,-0.075
-1.11,-80.1,-0.089
-1.26,-88.3,-0.101
-1.42,-95.2,-0.114
-1.55,-102.4,-0.124
-1.67,-108.3,-0.134
-1.78,-113,-0.142
-1.86,-117.7,-0.149
-1.94,-121.5,-0.155
-1.99,-123.3,-0.159
-2.02,-124.9,-0.162
-2.03,-125.2,-0.163
-2.04,-122.7,-0.164
-2.02,-112.4,-0.162
-1.97,-108.6,-0.158
-1.92,-103.6,-0.153
-1.84,-98,-0.147
-1.76,-91.4,-0.14
-1.65,-84.2,-0.132
-1.53,-75.8,-0.122
-1.39,-67.3,-0.111
-1.23,-58.2,-0.099
-1.07,-48.8,-0.086
-0.91,-38.8,-0.073
-0.73,-28.2,-0.058
-0.55,-17.2,-0.044
-0.35,-5.9,-0.028
-0.15,5.9,-0.012
0,15,0
0.03,17.2,0.003
0.06,16.3,0.005
0.06,14.4,0.005
0.04,11,0.003
0.04,13.8,0.003
0.04,13.1,0.003
0.04,15.3,0.003
0.4,41,0.032
0.62,54.8,0.05
0.85,70.1,0.068
1.07,83.3,0.086
1.3,96.1,0.104
1.49,108,0.119
1.69,119,0.135
1.85,127.4,0.148
2.02,135.2,0.162
2.16,142.1,0.173
2.29,147.1,0.183
2.39,150.3,0.191
2.48,152.5,0.199
2.54,154,0.203
2.58,154.3,0.206
2.59,154,0.207
2.6,151.5,0.208
2.56,144.3,0.205
2.51,140.6,0.2
2.44,135.6,0.195
2.34,128.7,0.188
2.24,121.2,0.179
2.12,114,0.17
1.94,103,0.155
1.79,92.7,0.143
1.6,80.8,0.128
1.4,68.6,0.112
1.2,54.8,0.096
0.99,40.4,0.079
0.75,25.7,0.06
0.6,15.7,0.048
0.27,-5.3,0.021
0.03,-19.7,0.003
-0.2,-33.8,-0.016
-0.44,-47.3,-0.035
-0.67,-60.4,-0.054
-0.9,-71.7,-0.072
-1.12,-83.3,-0.09
-1.34,-93.6,-0.107
-1.54,-103,-0.123
-1.72,-111.4,-0.138
-1.88,-119.3,-0.151
-2.03,-125.5,-0.163
-2.16,-130.2,-0.173
-2.28,-133.4,-0.182
-2.36,-135.2,-0.188
-2.43,-136.8,-0.194
-2.48,-137.1,-0.199
-2.51,-136.8,-0.2
-2.51,-136.8,-0.2
-2.52,-134.3,-0.201
-2.52,-124.3,-0.201
-2.44,-116.8,-0.195
-2.39,-112.4,-0.191
-2.29,-105.8,-0.183
-2.18,-98.6,-0.175
-2.07,-90.2,-0.165
-1.92,-82,-0.153
-1.75,-72.6,-0.14
-1.57,-63.6,-0.126
-1.38,-53.5,-0.11
-1.17,-42.3,-0.093
-0.95,-31,-0.076
-0.73,-18.5,-0.058
-0.49,-5.6,-0.039
-0.26,7.2,-0.021
-0.11,15.7,-0.009
0.1,22.5,0.008
0.04,16.6,0.003
0.04,19.4,0.003
0.17,32.6,0.014
0.42,47,0.033
0.65,60.4,0.052
0.89,73.6,0.071
1.1,86.1,0.088
1.32,97.4,0.105
1.52,107.4,0.122
1.7,115.2,0.136
1.88,123.3,0.151
2.04,129.9,0.164
2.18,135.9,0.175
2.3,140.9,0.184
2.41,144.9,0.193
2.48,147.5,0.199
2.55,149.6,0.204
2.58,150.3,0.206
2.59,150,0.207
2.59,146.5,0.207
2.55,138.7,0.204
2.51,135.2,0.2
2.43,129.9,0.194
2.33,123,0.187
2.22,115.5,0.177
2.09,108,0.167
1.93,97.7,0.154
1.76,87.7,0.14
1.57,76.4,0.126
1.37,63.6,0.11
1.17,49.8,0.093
0.94,36.3,0.075
