Test unit,C1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.24,-41.1,-0.092
-1.2,-39.6,-0.089
-1.18,-37.9,-0.088
-1.16,-36.4,-0.086
-1.12,-35.2,-0.083
-1.09,-33.9,-0.08
-1.06,-32.5,-0.078
-1.04,-31.2,-0.077
-1,-30.1,-0.074
-0.99,-28.6,-0.073
-0.96,-26.9,-0.071
-0.94,-25.6,-0.069
-0.89,-24.3,-0.066
-0.86,-22.6,-0.064
-0.86,-21,-0.063
-0.86,-19.7,-0.064
-0.84,-18.4,-0.062
-0.82,-16.9,-0.061
-0.79,-15.8,-0.058
-0.78,-14.5,-0.058
-0.78,-12.8,-0.058
-0.76,-11.4,-0.057
-0.72,-10.1,-0.053
-0.7,-8.4,-0.052
-0.68,-7,-0.051
-0.64,-5.5,-0.048
-0.61,-4.4,-0.045
-0.58,-3.1,-0.043
-0.54,-1.9,-0.04
-0.51,-0.6,-0.038
-0.47,0.7,-0.035
-0.42,2,-0.031
-0.42,4,-0.031
-0.39,6.8,-0.029
-0.36,9,-0.027
-0.33,11.2,-0.024
-0.29,13.3,-0.021
-0.24,15.4,-0.018
-0.21,17.1,-0.016
-0.2,18.5,-0.015
-0.13,20.4,-0.009
-0.09,18.7,-0.006
-0.1,16.5,-0.007
-0.1,14.3,-0.007
-0.1,12.5,-0.008
-0.15,13.6,-0.011
-0.14,15.9,-0.01
-0.12,17.3,-0.009
-0.11,18.8,-0.008
-0.11,20.3,-0.008
-0.1,21.8,-0.007
-0.07,23,-0.005
-0.01,25.1,-0.001
0.01,26.9,0
0.05,27.9,0.004
0.11,28.9,0.008
0.12,30.4,0.009
0.15,31.9,0.011
0.17,33.5,0.013
0.21,34.9,0.016
0.26,35.9,0.019
0.29,37.1,0.022
0.3,38.4,0.022
0.32,39.9,0.024
0.37,41.1,0.027
0.4,42.7,0.029
0.41,44.2,0.031
0.43,45.4,0.032
0.47,46.5,0.035
0.5,47.8,0.037
0.52,49.3,0.039
