Test unit;CT01;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.07899214;-13.61570837;-0.005447734
-0.079752352;-13.73756103;-0.005500162
-0.080489961;-13.8585213;-0.005551032
-0.081260404;-13.97420832;-0.005604166
-0.082037024;-14.09545253;-0.005657726
-0.082828503;-14.21207251;-0.005712311
-0.08365591;-14.32070148;-0.005769373
-0.084459166;-14.42811356;-0.00582477
-0.085281934;-14.53491718;-0.005881513
-0.086076963;-14.6471563;-0.005936342
-0.086850924;-14.76089627;-0.005989719
-0.08761204;-14.87386554;-0.00604221
-0.088389571;-14.98196719;-0.006095832
-0.089138863;-15.10183225;-0.006147508
-0.089896359;-15.22323872;-0.006199749
-0.090702654;-15.33766828;-0.006255355
-0.091549521;-15.44942064;-0.00631376
-0.092386131;-15.57009697;-0.006371457
-0.093232495;-15.69000259;-0.006429827
-0.094072697;-15.80353975;-0.006487772
-0.094867706;-15.91703634;-0.0065426
-0.09570637;-16.02976223;-0.006600439
-0.096564549;-16.1410684;-0.006659624
-0.097453559;-16.25091428;-0.006720935
-0.098350777;-16.35958382;-0.006782812
-0.099226941;-16.46744209;-0.006843237
-0.100101564;-16.57505699;-0.006903556
-0.1010183;-16.67934567;-0.006966779
-0.101894467;-16.7831476;-0.007027205
-0.102832246;-16.88329881;-0.007091879
-0.103776702;-16.98020495;-0.007157014
-0.104732457;-17.07662432;-0.007222928
-0.105686673;-17.17271919;-0.007288736
-0.106628573;-17.25867319;-0.007353695
-0.107580225;-17.34081422;-0.007419326
-0.108458422;-17.43516486;-0.007479891
-0.109229801;-17.53267945;-0.00753309
-0.109964197;-17.62589431;-0.007583738
-0.110737624;-17.71631029;-0.007637077
-0.111528524;-17.81252685;-0.007691622
-0.112385673;-17.91121779;-0.007750736
-0.113263874;-18.00921914;-0.007811302
-0.114172899;-18.10734218;-0.007873993
-0.115071633;-18.21284778;-0.007935975
-0.115916959;-18.31604125;-0.007994273
-0.11678027;-18.41481331;-0.008053812
-0.117677475;-18.51545129;-0.008115688
-0.118534104;-18.62034844;-0.008174766
-0.119418472;-18.72321741;-0.008235757
-0.12023506;-18.82227341;-0.008292073
-0.121035202;-18.92530464;-0.008347255
-0.121867695;-19.02659163;-0.008404669
-0.122761833;-19.12589102;-0.008466333
-0.123649292;-19.2277459;-0.008527537
-0.124504399;-19.32915459;-0.00858651
-0.125405222;-19.42090917;-0.008648636
-0.126412883;-19.50787725;-0.00871813
-0.12743184;-19.59018054;-0.008788403
-0.128407154;-19.66712946;-0.008855666
-0.129359869;-19.73750708;-0.00892137
-0.130259175;-19.80155681;-0.008983391
-0.131126128;-19.85834568;-0.009043181
-0.131929914;-19.90791424;-0.009098615
-0.132664376;-19.94551658;-0.009149267
-0.133426583;-19.97504679;-0.009201833
-0.134167746;-19.99926319;-0.009252948
-0.134828303;-20.00871448;-0.009298504
-0.135518139;-20.0059156;-0.009346079
-0.136165863;-19.99382768;-0.009390749
-0.136776629;-19.96973298;-0.009432871
-0.137358656;-19.92900725;-0.009473011
-0.137864687;-19.87801896;-0.009507909
-0.138273099;-19.82358278;-0.009536076
-0.138669666;-19.76517138;-0.009563425
-0.139039035;-19.69134585;-0.009588899
-0.139388884;-19.61074623;-0.009613026
-0.139683222;-19.52905139;-0.009633326
-0.139964731;-19.43908161;-0.00965274
-0.140215419;-19.34314899;-0.009670029
-0.140425522;-19.24328171;-0.009684519
-0.140625863;-19.13761386;-0.009698335
-0.140714782;-19.02671332;-0.009704468
-0.140784177;-18.91277052;-0.009709254
-0.140876711;-18.78957925;-0.009715635
-0.140902459;-18.66719925;-0.009717411
-0.14085833;-18.54518432;-0.009714368
-0.140820341;-18.42645503;-0.009711748
-0.140683762;-18.30484574;-0.009702328
-0.140560018;-18.18307419;-0.009693794
-0.140486073;-18.06576462;-0.009688695
-0.140453697;-17.95376887;-0.009686462
-0.140418251;-17.84002889;-0.009684017
-0.140328419;-17.71558016;-0.009677822
-0.140226303;-17.58476295;-0.009670779
-0.140161152;-17.45865112;-0.009666286
-0.14003646;-17.32641419;-0.009657687
-0.139860454;-17.18610514;-0.009645549
-0.139671622;-17.0452282;-0.009632526
-0.139516685;-16.90589267;-0.00962184
-0.139381273;-16.76826081;-0.009612502
-0.139207369;-16.62572076;-0.009600508
-0.139129981;-16.49003595;-0.009595171
-0.139113682;-16.36112523;-0.009594047
-0.139106598;-16.24032721;-0.009593558
-0.139185823;-16.11226833;-0.009599022
-0.13930201;-15.9890365;-0.009607035
-0.139413042;-15.87168637;-0.009614693
-0.139569257;-15.75514752;-0.009625466
-0.139757832;-15.63970387;-0.009638471
-0.139905819;-15.52535545;-0.009648677
-0.139991185;-15.40642335;-0.009654564
-0.140069856;-15.28923548;-0.00965999
-0.140198315;-15.17955185;-0.009668849
-0.140383263;-15.06982766;-0.009681604
-0.140516325;-14.96067136;-0.009690781
-0.140666816;-14.85897874;-0.00970116
-0.140830134;-14.76089626;-0.009712423
-0.140952863;-14.66403069;-0.009720887
-0.141054531;-14.56821978;-0.009727899
-0.141181861;-14.47265224;-0.00973668
-0.141346151;-14.3817495;-0.00974801
-0.141530513;-14.28103041;-0.009760725
-0.141631201;-14.1748758;-0.009767669
-0.1416754;-14.06535443;-0.009770717
-0.14165127;-13.9613497;-0.009769053
-0.141616401;-13.84748804;-0.009766648
-0.141603141;-13.72324213;-0.009765734
-0.141644837;-13.60167341;-0.009768609
-0.141594063;-13.48513456;-0.009765108
-0.141538686;-13.36636472;-0.009761289
-0.141518733;-13.24747318;-0.009759913
-0.141516217;-13.13559913;-0.009759739
-0.141505475;-13.02546931;-0.009758998
-0.14140896;-12.91667809;-0.009752342
-0.141301145;-12.80971222;-0.009744907
-0.141238515;-12.70400381;-0.009740587
-0.141174348;-12.59687569;-0.009736162
-0.141155374;-12.49063996;-0.009734853
-0.141147698;-12.3856617;-0.009734324
-0.141078936;-12.27622146;-0.009729582
-0.140989113;-12.16807925;-0.009723387
-0.140822726;-12.0673196;-0.009711912
-0.140711279;-11.96773628;-0.009704226
-0.140645025;-11.86908592;-0.009699657
-0.140620894;-11.77153078;-0.009697993
-0.140604433;-11.68026297;-0.009696857
-0.140592579;-11.59439011;-0.00969604
-0.140519076;-11.50900401;-0.009690971
