Test unit,M17
Reference,Pinho et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.87,0.5,0.069
0.93,0.5,0.073
0.98,0.1,0.077
0.87,0.5,0.069
0.98,-0.3,0.077
0.87,-1.7,0.069
0.87,-2.1,0.069
0.82,-2.5,0.064
0.77,-3.4,0.061
0.72,-5.2,0.057
0.72,-6,0.057
0.57,-7.8,0.044
0.67,-8.2,0.052
0.51,-10.4,0.04
0.57,-10.9,0.044
0.41,-12.2,0.032
0.47,-13,0.036
0.36,-13.9,0.028
0.36,-16.1,0.028
0.21,-17.4,0.016
0.21,-17.9,0.016
0.1,-19.6,0.008
0.1,-20.5,0.008
0,-21.8,0
0,-24,0
-0.15,-24.9,-0.012
-0.1,-25.8,-0.008
-0.2,-27.1,-0.016
-0.2,-27.9,-0.016
-0.36,-28.8,-0.028
-0.36,-30.6,-0.028
-0.41,-31,-0.032
-0.51,-31.9,-0.04
-0.51,-31.9,-0.04
-0.61,-33.6,-0.048
-0.56,-33.6,-0.044
-0.77,-34.5,-0.06
-0.72,-34.5,-0.056
-0.87,-35.4,-0.068
-0.87,-35.8,-0.068
-0.92,-36.7,-0.072
-1.03,-37.2,-0.081
-1.08,-37.2,-0.084
-1.13,-38,-0.088
-1.18,-38,-0.093
-1.28,-38.5,-0.101
-1.33,-38.9,-0.105
-1.44,-39.3,-0.113
-1.49,-39.8,-0.117
-1.64,-39.8,-0.129
-1.64,-40.2,-0.129
-1.69,-41.1,-0.133
-1.8,-40.2,-0.141
-1.8,-41.1,-0.141
-1.9,-40.7,-0.149
-2.05,-41.5,-0.161
-2.11,-41.5,-0.165
-2.15,-41.9,-0.169
-2.21,-41.5,-0.173
-2.31,-41.9,-0.181
-2.41,-42.4,-0.189
-2.41,-41.9,-0.189
-2.57,-41.1,-0.201
-2.51,-39.3,-0.197
-2.51,-38.5,-0.197
-2.46,-37.2,-0.193
-2.51,-35.8,-0.197
-2.41,-35,-0.189
-2.46,-33.6,-0.193
-2.46,-32.8,-0.193
-2.36,-31,-0.185
-2.46,-31,-0.193
-2.31,-28.4,-0.181
-2.36,-28.4,-0.185
-2.21,-25.3,-0.173
-2.31,-25.8,-0.181
-2.21,-23.6,-0.173
-2.21,-22.7,-0.173
-2.11,-20.5,-0.165
-2.11,-20.5,-0.165
-2,-18.3,-0.157
-2.05,-18.3,-0.161
-2,-16.1,-0.157
-1.95,-15.2,-0.153
-1.85,-14.4,-0.145
-1.85,-12.6,-0.145
-1.8,-11.7,-0.141
-1.74,-10.4,-0.137
-1.69,-9.1,-0.133
-1.64,-8.7,-0.129
-1.54,-6.9,-0.121
-1.59,-6,-0.125
-1.49,-5.2,-0.117
-1.49,-3.8,-0.117
-1.38,-3.4,-0.108
-1.38,-2.1,-0.108
-1.33,-1.7,-0.105
-1.28,-0.3,-0.101
-1.28,-0.3,-0.101
-1.24,0.3,-0.097
NaN,NaN,NaN
-1.28,0.9,-0.101
-1.18,0.9,-0.093
-1.23,1.4,-0.096
-1.18,0.9,-0.093
-1.23,1.9,-0.096
-1.18,1.4,-0.093
-1.23,1.4,-0.096
-1.18,1.4,-0.093
-1.23,1.4,-0.096
-1.13,0.5,-0.088
-1.18,1.9,-0.093
-1.13,0.5,-0.088
-1.13,2.7,-0.088
-1.18,0.5,-0.093
-1.13,2.7,-0.088
-1.18,1.4,-0.093
-1.08,3.2,-0.084
-1.13,2.7,-0.088
-1.08,4,-0.084
-1.08,4.9,-0.084
-1.03,5.8,-0.081
-0.92,7.1,-0.072
-0.87,7.5,-0.068
-0.77,8.4,-0.06
-0.77,9.7,-0.06
-0.72,10.6,-0.056
-0.61,12.3,-0.048
-0.51,13.7,-0.04
-0.51,14.5,-0.04
-0.41,15.4,-0.032
-0.41,16.7,-0.032
-0.31,17.6,-0.024
-0.2,18,-0.016
-0.2,19.4,-0.016
-0.15,20.2,-0.012
-0.1,21.1,-0.008
0,21.5,0
0,23.7,0
0.1,23.3,0.008
0.1,25.9,0.008
0.26,25.1,0.02
0.26,27.7,0.02
0.26,26.4,0.02
0.41,28.6,0.032
0.41,28.6,0.032
0.51,30.7,0.04
0.51,30.3,0.04
0.62,32.5,0.049
0.62,32.1,0.049
0.77,32.9,0.061
0.82,33.8,0.064
0.98,35.1,0.077
0.98,36,0.077
1.08,36.4,0.085
1.18,36.9,0.093
1.18,37.8,0.093
1.28,37.8,0.101
1.39,39.5,0.109
1.44,40,0.113
1.54,40,0.121
1.59,40.8,0.125
1.64,41.3,0.129
1.75,40.8,0.137
1.8,41.7,0.141
1.9,41.7,0.149
1.95,43,0.153
2.01,42.1,0.157
2.11,43.9,0.165
2.11,43,0.165
2.21,44.3,0.173
2.36,43.5,0.185
2.41,43.9,0.189
2.41,44.3,0.189
2.52,44.8,0.197
2.52,43.9,0.197
2.67,44.3,0.209
2.77,45.2,0.217
2.72,44.8,0.214
2.82,43.5,0.222
2.88,41.7,0.226
2.88,40.8,0.226
2.77,39.1,0.217
2.82,37.8,0.222
2.77,37.3,0.217
2.77,35.6,0.217
2.72,34.3,0.214
2.72,32.1,0.214
2.67,29.9,0.209
2.67,29,0.209
2.57,27.7,0.201
2.62,26.8,0.205
2.57,25.5,0.201
2.52,23.7,0.197
2.46,23.7,0.193
2.41,22,0.189
2.41,21.5,0.189
2.26,19.8,0.177
2.31,18.5,0.181
2.16,17.6,0.169
2.11,15.8,0.165
2.11,15,0.165
2.05,13.7,0.161
2.05,13.2,0.161
1.9,12.3,0.149
1.95,10.6,0.153
1.8,10.2,0.141
1.8,8.4,0.141
1.64,7.1,0.129
1.59,6.2,0.125
1.54,5.4,0.121
1.59,3.6,0.125
1.44,4,0.113
1.43,2.7,0.112
1.24,-0.3,0.097
1.13,-1.7,0.089
1.13,-1.7,0.089
1.03,-3.4,0.081
1.08,-3,0.085
0.93,-4.7,0.073
0.93,-5.2,0.073
0.87,-6.5,0.069
0.77,-7.8,0.061
0.77,-8.2,0.061
0.67,-9.1,0.052
0.67,-9.5,0.052
0.51,-10.9,0.04
0.57,-11.3,0.044
0.41,-13,0.032
0.41,-13.5,0.032
0.36,-14.4,0.028
0.36,-15.2,0.028
0.31,-16.1,0.024
0.21,-17,0.016
0,-17.9,0
0.05,-17.9,0.004
0,-19.6,0
-0.1,-20.1,-0.008
-0.05,-20.9,-0.004
-0.26,-22.7,-0.02
-0.26,-22.7,-0.02
-0.41,-24.4,-0.032
-0.46,-24.9,-0.036
-0.41,-25.8,-0.032
-0.51,-27.1,-0.04
