Test unit,T1-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.58,-19.1,-0.046
-0.44,-13.1,-0.035
-0.2,-4.1,-0.016
-0.03,2.8,-0.003
0.16,10,0.013
0.34,17.2,0.027
0.51,23.5,0.041
0.71,30.4,0.057
0.88,35.7,0.07
1.04,40.7,0.083
1.2,45.4,0.096
1.34,50.4,0.107
1.48,54.2,0.118
1.6,57.3,0.128
1.7,59.2,0.136
1.8,61,0.144
1.87,61.7,0.15
1.94,62.3,0.155
1.98,62.6,0.158
2,62.6,0.16
2.01,62,0.161
2.02,60.4,0.162
1.98,56.4,0.158
1.95,54.2,0.156
1.9,51.7,0.152
1.81,48.8,0.145
1.72,45.4,0.138
1.62,41.6,0.129
1.51,37.9,0.121
1.36,33.5,0.109
1.23,28.5,0.099
1.06,22.5,0.085
0.91,16.9,0.073
0.75,11,0.06
0.56,4.1,0.045
0.4,-2.8,0.032
0.2,-10,0.016
0.01,-17.5,0.001
0,-13.8,0
0,-13.8,0
0.01,-14.7,0.001
0,-15.3,0
0.01,-15.3,0.001
0,-14.7,0
-0.05,-20,-0.004
-0.26,-27.5,-0.021
-0.45,-33.8,-0.036
-0.63,-39.8,-0.051
-0.8,-45.1,-0.064
-0.97,-49.8,-0.078
-1.27,-58.2,-0.102
-1.42,-61.4,-0.114
-1.54,-64.8,-0.123
-1.66,-67.6,-0.133
-1.76,-69.5,-0.14
-1.83,-71.1,-0.146
-1.91,-72.6,-0.152
-1.96,-73.3,-0.157
-1.99,-73.6,-0.159
-2,-73.6,-0.16
-2,-72.9,-0.16
-1.99,-68.6,-0.159
-1.95,-67.3,-0.156
-1.9,-65.7,-0.152
-1.83,-63.2,-0.146
-1.75,-60.4,-0.14
-1.65,-57,-0.132
-1.54,-53.5,-0.123
-1.4,-49.8,-0.112
-1.27,-45.1,-0.102
-1.12,-39.8,-0.09
-0.96,-33.8,-0.077
-0.79,-27.5,-0.063
-0.62,-20.7,-0.05
-0.45,-14.4,-0.036
-0.26,-6.9,-0.021
-0.07,0.6,-0.006
0.12,7.2,0.009
0.3,13.8,0.024
0.49,20,0.039
0.66,26,0.053
0.84,31.3,0.067
1.01,36,0.081
1.16,39.8,0.093
1.16,39.8,0.093
1.31,43.8,0.104
1.43,47,0.115
1.57,50.1,0.126
1.68,52.9,0.134
1.78,55.1,0.142
1.86,57.3,0.149
1.93,58.5,0.154
1.97,59.5,0.158
2,60.1,0.16
2.01,59.8,0.161
2.02,58.2,0.162
1.99,54.5,0.159
1.95,52.6,0.156
1.91,50.7,0.152
1.83,47.9,0.146
1.75,44.8,0.14
1.64,41,0.131
1.53,37.6,0.122
1.39,33.2,0.111
1.26,28.8,0.101
1.11,22.9,0.089
0.93,16.9,0.075
0.76,11.3,0.061
0.6,5,0.048
0.43,-1.3,0.034
0.25,-8.5,0.02
0.05,-15.3,0.004
0,-14.7,0
0,-14.1,0
-0.01,-16.9,-0.001
-0.24,-26,-0.019
-0.43,-32.2,-0.034
-0.6,-37.9,-0.048
-0.77,-43.5,-0.062
-0.94,-48.2,-0.075
-1.1,-52.3,-0.088
-1.25,-56.4,-0.1
-1.39,-59.8,-0.111
-1.52,-62.9,-0.122
-1.63,-65.7,-0.13
-1.73,-68.2,-0.139
-1.82,-70.1,-0.146
-1.9,-71.1,-0.152
-1.96,-72.3,-0.157
-1.98,-72.6,-0.158
-2,-72.9,-0.16
-2.01,-72.6,-0.161
-2,-69.8,-0.16
-1.96,-67.3,-0.157
-1.92,-65.4,-0.153
-1.84,-62.9,-0.147
-1.77,-60.4,-0.141
-1.67,-57.6,-0.134
-1.56,-53.8,-0.125
-1.43,-49.8,-0.115
-1.3,-45.7,-0.104
-1.16,-40.7,-0.093
-1,-34.4,-0.08
-0.82,-28.2,-0.066
-0.65,-21.6,-0.052
-0.48,-15.3,-0.039
-0.33,-9.7,-0.027
-0.1,-0.9,-0.008
0.07,5,0.006
0.26,11.6,0.021
0.45,17.8,0.036
0.62,23.8,0.05
0.81,29.1,0.065
0.96,33.5,0.077
1.13,37.9,0.091
1.28,41.6,0.103
1.42,44.8,0.114
1.55,47.9,0.124
1.66,50.7,0.133
1.76,52.6,0.14
1.84,55.1,0.147
1.91,56.7,0.152
1.96,57.9,0.157
1.99,58.5,0.159
2.01,58.9,0.161
2.02,58.2,0.162
2,53.8,0.16
1.96,52.3,0.157
1.92,50.1,0.153
1.84,47.6,0.147
1.77,44.5,0.141
1.67,41.3,0.134
1.55,37.6,0.124
1.43,33.5,0.115
1.28,29.4,0.103
1.15,23.8,0.092
0.97,18.8,0.078
0.8,12.5,0.064
0.64,6.3,0.051
0.47,0,0.038
0.28,-6.9,0.022
0.14,-12.5,0.011
-0.01,-16,-0.001
0.01,-13.8,0.001
0.01,-15.3,0.001
0,-15.7,0
0,-14.7,0
0.01,-14.4,0.001
0,-14.1,0
0,-13.1,0
0,-13.5,0
0,-13.1,0
0,-13.5,0
0,-13.1,0
0,-15,0
-0.28,-27.2,-0.022
-0.51,-34.7,-0.041
-0.74,-42.3,-0.059
-0.95,-48.8,-0.076
-1.16,-53.2,-0.093
-1.38,-58.5,-0.11
-1.56,-63.2,-0.125
-1.75,-67.9,-0.14
-1.91,-71.1,-0.152
-2.04,-73.9,-0.164
-2.18,-76.4,-0.175
-2.29,-78,-0.183
-2.38,-79.2,-0.19
-2.45,-79.5,-0.196
-2.49,-80.1,-0.2
-2.53,-79.8,-0.202
-2.53,-79.5,-0.202
-2.52,-75.8,-0.201
-2.47,-74.2,-0.198
-2.41,-72.3,-0.193
-2.33,-69.5,-0.187
-2.23,-66.4,-0.178
-2.11,-62.9,-0.169
-1.98,-59.2,-0.158
-1.82,-54.8,-0.146
-1.65,-50.1,-0.132
-1.47,-45.1,-0.117
-1.26,-39.1,-0.101
-1.06,-32.2,-0.085
-0.85,-25.4,-0.068
-0.62,-17.2,-0.05
-0.43,-10.3,-0.034
-0.15,-0.6,-0.012
0.07,7.2,0.006
0.32,15,0.026
0.55,22.2,0.044
0.78,29.1,0.063
1,35.1,0.08
1.21,40.1,0.097
1.41,44.8,0.113
1.6,49.2,0.128
1.78,52.9,0.142
1.93,57,0.154
2.08,60.1,0.166
2.19,62.9,0.176
2.32,63.9,0.186
2.41,65.1,0.193
2.48,65.7,0.199
2.53,66.1,0.202
2.55,65.7,0.204
2.55,62.9,0.204
2.53,60.4,0.202
2.48,58.5,0.199
2.43,55.7,0.194
2.33,53.5,0.187
2.24,50.1,0.179
2.1,46.3,0.168
1.96,42.3,0.157
1.81,37.6,0.145
1.64,32.6,0.131
1.45,26.9,0.116
1.24,20.7,0.099
1.02,14.1,0.081
0.82,7.2,0.066
0.61,-0.6,0.049
0.36,-8.1,0.029
0.14,-16.6,0.011
-0.02,-20,-0.002
0.01,-16.3,0.001
0.01,-18.2,0.001
-0.22,-28.5,-0.018
-0.46,-35.4,-0.037
-0.7,-41.6,-0.056
-0.91,-47.3,-0.073
-1.15,-52,-0.092
-1.34,-55.7,-0.107
-1.52,-59.8,-0.122
-1.7,-63.6,-0.136
-1.87,-67,-0.15
-1.87,-67,-0.15
-2.03,-70.1,-0.163
-2.15,-71.7,-0.172
-2.27,-74.2,-0.182
-2.37,-76.1,-0.189
-2.43,-76.7,-0.194
-2.48,-77.3,-0.199
-2.53,-78,-0.202
-2.53,-75.1,-0.202
-2.47,-72.9,-0.198
-2.42,-71.1,-0.194
-2.36,-68.6,-0.188
-2.26,-65.7,-0.181
-2.13,-62.6,-0.17
-2,-59.2,-0.16
-1.84,-54.8,-0.147
-1.68,-50.4,-0.134
-1.5,-45.4,-0.12
-1.31,-39.8,-0.104
-1.1,-33.2,-0.088
-0.89,-26,-0.071
-0.66,-18.2,-0.053
-0.47,-11.6,-0.038
-0.19,-2.2,-0.015
0.04,5,0.003
0.27,12.8,0.021
0.5,19.4,0.04
0.74,26,0.059
0.95,31.6,0.076
1.17,36.6,0.093
1.37,40.7,0.11
1.56,44.1,0.125
1.73,47.6,0.139
1.91,50.7,0.152
2.04,54.2,0.164
2.18,57,0.175
2.3,59.2,0.184
2.39,61,0.191
2.45,62.3,0.196
2.51,62.9,0.2
2.54,63.2,0.203
2.55,62.6,0.204
2.55,59.5,0.204
2.49,56.4,0.2
2.43,54.5,0.194
2.36,52,0.188
2.25,48.8,0.18
2.12,45.4,0.17
1.99,41.6,0.159
1.83,37.3,0.146
1.66,32.9,0.133
1.49,27.2,0.119
1.28,21.9,0.103
1.07,15.3,0.086
0.86,8.8,0.069
0.63,0.9,0.051
0.42,-6.9,0.033
0.2,-14.1,0.016
-0.02,-21,-0.002
0,-16.3,0
0,-18.5,0
0,-16.3,0
-0.02,-20.3,-0.002
-0.3,-30.1,-0.024
-0.52,-36.3,-0.042
-0.76,-42.6,-0.061
-0.97,-47.6,-0.078
-1.19,-52.3,-0.095
-1.39,-56,-0.111
-1.58,-59.8,-0.127
-1.76,-63.2,-0.14
-1.92,-66.7,-0.153
-2.07,-69.2,-0.165
-2.19,-71.4,-0.176
-2.3,-73.6,-0.184
-2.39,-74.2,-0.191
-2.45,-75.8,-0.196
-2.49,-76.4,-0.2
-2.53,-76.7,-0.202
-2.53,-76.4,-0.202
-2.51,-72.9,-0.2
-2.47,-71.4,-0.198
-2.4,-69.5,-0.192
-2.32,-67,-0.186
-2.22,-64.2,-0.177
-2.09,-60.7,-0.167
-1.96,-57,-0.157
-1.8,-53.2,-0.144
-1.63,-48.5,-0.13
-1.45,-43.5,-0.116
-1.24,-37.6,-0.099
-1.04,-31,-0.083
-0.81,-23.8,-0.065
-0.59,-16.3,-0.047
-0.41,-10.3,-0.033
-0.13,-0.6,-0.01
0.11,6.9,0.009
0.34,13.8,0.027
0.57,20.3,0.045
0.79,26.3,0.063
1.02,31.9,0.081
1.22,36.3,0.098
1.43,40.4,0.115
1.62,43.5,0.129
1.79,47,0.143
1.95,50.1,0.156
2.1,53.2,0.168
2.23,55.7,0.178
2.32,57.9,0.186
2.41,59.8,0.193
2.48,60.7,0.199
2.53,61.7,0.202
2.55,61.4,0.204
2.55,60.4,0.204
2.52,56.7,0.201
2.48,55.1,0.199
2.41,52.6,0.193
2.22,47,0.177
2.09,43.2,0.167
1.95,39.4,0.156
1.79,35.4,0.143
1.62,31,0.129
1.42,25.4,0.114
1.23,19.7,0.099
1.02,13.5,0.081
0.79,6.6,0.063
0.57,-0.6,0.045
0.34,-8.8,0.027
0.1,-16.9,0.008
-0.02,-18.2,-0.002
0,-16,0
0,-17.2,0
0,-15,0
0.01,-15,0.001
0,-15,0
0.01,-15,0.001
0,-15,0
-0.24,-27.5,-0.019
-0.5,-36,-0.04
