Test unit,RS5,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.197179004,-6.887,-0.012323688
-0.235675789,-7.521,-0.014729737
-0.263346284,-8.143,-0.016459143
-0.296534297,-8.771,-0.018533394
-0.330799935,-9.395,-0.020674996
-0.356748023,-10.04,-0.022296751
-0.403230962,-10.7,-0.025201935
-0.428035248,-11.36,-0.026752203
-0.464120501,-12.04,-0.029007531
-0.496578328,-12.72,-0.031036146
-0.535069528,-13.39,-0.033441846
-0.566757776,-14.05,-0.035422361
-0.600283632,-14.71,-0.037517727
-0.638616249,-15.38,-0.039913516
-0.675067461,-16.06,-0.042191716
-0.70621187,-16.72,-0.044138242
-0.740788254,-17.37,-0.046299266
-0.778446141,-18,-0.048652884
-0.813446018,-18.62,-0.050840376
-0.846651712,-19.24,-0.052915732
-0.879528778,-19.84,-0.054970549
-0.914398699,-20.42,-0.057149919
-0.946829638,-21.01,-0.059176852
-0.987691887,-21.58,-0.061730743
-1.019582537,-22.12,-0.063723909
-1.057137923,-22.65,-0.06607112
-1.095139299,-23.18,-0.068446206
-1.125201265,-23.7,-0.070325079
-1.166152863,-24.21,-0.072884554
-1.200157701,-24.72,-0.075009856
-1.236679341,-25.21,-0.077292459
-1.275336597,-25.68,-0.079708537
-1.305623783,-26.11,-0.081601486
-1.331623162,-26.24,-0.083226448
-1.329447563,-25.45,-0.083090473
-1.329667234,-25.39,-0.083104202
-1.336038567,-25.26,-0.08350241
-1.269232688,-23.52,-0.079327043
-1.196237216,-21.83,-0.074764826
-1.124722714,-20.22,-0.07029517
-1.057322772,-18.67,-0.066082673
-0.982778323,-17.12,-0.061423645
-0.914231309,-15.57,-0.057139457
-0.844295073,-14.01,-0.052768442
-0.777939092,-12.49,-0.048621193
-0.710419997,-10.98,-0.04440125
-0.642243036,-9.508,-0.04014019
-0.578297463,-8.07,-0.036143591
-0.511123375,-6.694,-0.031945211
-0.436671051,-5.318,-0.027291941
-0.379775767,-3.976,-0.023735985
-0.311262644,-2.658,-0.019453915
-0.247819162,-1.385,-0.015488698
-0.188573187,-0.1349,-0.011785824
-0.122643066,1.098,-0.007665192
-0.063483641,2.189,-0.003967728
-0.007856607,3.23,-0.000491038
0.059877978,4.337,0.003742374
0.119486127,5.457,0.007467883
0.185064313,6.567,0.01156652
0.252037523,7.641,0.015752345
0.313596565,8.704,0.019599785
0.390480415,9.754,0.024405026
0.458357967,10.81,0.028647373
0.524761679,11.86,0.032797605
0.591133015,12.98,0.036945813
0.66564873,14.08,0.041603046
0.739674954,15.21,0.046229685
0.811345569,16.35,0.050709098
0.881390439,17.52,0.055086902
0.943715225,18.69,0.058982202
1.024128601,19.88,0.064008038
1.087952973,21.08,0.067997061
1.163686744,22.31,0.072730422
1.239058035,23.53,0.077441127
1.302931979,24.7,0.081433249
1.376681206,25.78,0.086042575
1.44440167,26.74,0.090275104
1.522439257,27.6,0.095152454
1.59825561,28.3,0.099890976
1.669041014,29.16,0.104315063
1.74702483,29.81,0.109189052
1.817350569,30.5,0.113584411
1.893580774,31.15,0.118348798
1.965468078,31.75,0.122841755
2.013803253,32.05,0.125862703
2.01976667,30.94,0.126235417
1.96554314,28.92,0.122846446
1.892082221,27.41,0.118255139
1.818346845,25.99,0.113646678
1.74363471,24.62,0.108977169
1.682389757,23.27,0.10514936
1.606601155,21.98,0.100412572
1.529934704,20.67,0.095620919
1.469844311,19.4,0.091865269
1.396334967,18.16,0.087270935
1.321396362,16.94,0.082587273
1.253620858,15.76,0.078351304
1.180073204,14.61,0.073754575
1.103401392,13.47,0.068962587
1.03056245,12.37,0.064410153
0.960289766,11.29,0.06001811
0.896015947,10.23,0.056000997
0.817287078,9.196,0.051080442
0.750521723,8.122,0.046907608
0.679658231,7.019,0.042478639
0.607489408,5.897,0.037968088
0.539881213,4.764,0.033742576
0.470571012,3.626,0.029410688
0.398499369,2.492,0.024906211
0.339316585,1.4,0.021207287
0.280465491,0.2938,0.017529093
0.207460581,-0.8086,0.012966286
0.151324925,-1.871,0.009457808
0.095185358,-2.89,0.005949085
0.03894882,-4.053,0.002434301
-0.027641113,-5.265,-0.00172757
-0.092206627,-6.463,-0.005762914
-0.163951858,-7.666,-0.010246991
-0.228451693,-8.866,-0.014278231
-0.297868206,-10.07,-0.018616763
-0.36239697,-11.3,-0.022649811
-0.430251305,-12.54,-0.026890707
-0.50078024,-13.81,-0.031298765
-0.576269826,-15.1,-0.036016864
-0.642450344,-16.36,-0.040153147
-0.710488969,-17.59,-0.044405561
-0.779452439,-18.76,-0.048715777
-0.849108369,-19.92,-0.053069273
-0.920658038,-21.01,-0.057541127
-0.991140554,-22.08,-0.061946285
-1.062108125,-23.14,-0.066381758
-1.13294084,-24.18,-0.070808803
-1.2063116,-25.19,-0.075394475
-1.279448192,-26.15,-0.079965512
-1.344521749,-26.99,-0.084032609
-1.423443328,-27.73,-0.088965208
-1.499821591,-28.4,-0.093738849
-1.565266444,-29.01,-0.097829153
-1.647359444,-29.58,-0.102959965
-1.725676597,-30.12,-0.107854787
-1.807259469,-30.62,-0.112953717
-1.878815303,-31.1,-0.117425956
-1.964927991,-31.56,-0.122807999
-2.003643245,-29.98,-0.125227703
-1.916085469,-28.41,-0.119755342
-1.841925268,-27.1,-0.115120329
-1.764649055,-25.85,-0.110290566
-1.69165895,-24.64,-0.105728684
-1.635030659,-23.41,-0.102189416
