Test unit,WI1.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-4.09,12.3,-0.309
-3.49,15.3,-0.263
-2.6,18.9,-0.196
-1.83,21.6,-0.138
-0.92,23.8,-0.069
0.1,26.1,0.007
0.95,27.7,0.072
1.69,28.6,0.128
2.81,30.3,0.212
3.9,31.4,0.295
5,33.1,0.377
6.15,34,0.464
7.32,34.7,0.552
8.8,35.5,0.664
10.01,35.9,0.755
11.74,36.1,0.886
12.44,36,0.939
13.43,36.3,1.013
14.91,36.4,1.125
16.23,36.3,1.225
17.32,36.6,1.307
18.54,36.7,1.399
19.61,36.4,1.48
20.73,36.4,1.565
21.31,36.7,1.608
21.97,37.3,1.658
23.17,36.7,1.749
23.08,34.9,1.742
21.84,34.6,1.648
20.77,34.3,1.568
19.82,34.5,1.496
18.62,33.7,1.406
17.46,33.7,1.318
16.17,33.2,1.221
14.98,33.2,1.131
13.58,32.8,1.025
12.34,32.3,0.932
11.19,31.6,0.845
9.73,30.6,0.734
9.13,29.6,0.689
8.09,28,0.611
7.23,25.7,0.545
6.12,23.8,0.462
4.83,20.2,0.365
3.82,17.9,0.289
3.44,16.1,0.26
2.6,13.2,0.196
2.11,11.4,0.159
2.11,11.4,0.159
0.09,3.6,0.007
-1.17,-3.9,-0.089
-2.41,-10.7,-0.182
-3.57,-16.5,-0.27
-4.62,-22.1,-0.349
-6.46,-29.1,-0.488
-9.16,-31.6,-0.691
-11.82,-34.2,-0.892
-14.17,-35.7,-1.07
-16.05,-36.7,-1.212
-19.46,-38,-1.468
-20.34,-39.7,-1.535
-20.94,-38.4,-1.58
-21.47,-38.8,-1.621
-22.02,-38.6,-1.662
-22.67,-39.2,-1.711
NaN,NaN,NaN
-25.23,-38.9,-1.904
-24.4,-36.7,-1.842
-22.92,-35.5,-1.73
-21.35,-34.3,-1.611
-20.28,-33.4,-1.53
-19.7,-32.8,-1.487
-19.19,-32.2,-1.448
-17.6,-31.1,-1.328
-15.98,-30,-1.206
-15.3,-27.9,-1.155
-14.53,-28.3,-1.096
-13.5,-27.1,-1.019
-12.26,-26.2,-0.926
-11.11,-24.2,-0.838
-10.12,-21.5,-0.764
-9.18,-18.3,-0.693
-8.55,-14.9,-0.645
-7.89,-11.2,-0.595
-7.38,-8.2,-0.557
-6.73,-4.5,-0.508
-6.15,-1.3,-0.464
-5.66,1.8,-0.427
-4.82,7.3,-0.364
-4.17,11.7,-0.315
-3.17,16,-0.239
-2.39,18.9,-0.18
-1.45,22.1,-0.109
-0.29,24.2,-0.022
0.93,26.4,0.07
1.95,28.2,0.147
3.1,29.6,0.234
4.42,31.6,0.334
5.41,33.1,0.408
6.71,34.2,0.506
7.64,34.6,0.577
8.71,35.2,0.658
10.01,35.3,0.756
10.59,35.4,0.799
11.93,35.8,0.901
13.81,36.1,1.042
14.82,36.1,1.119
16,36.2,1.208
16.64,34.5,1.256
17.07,36.3,1.288
18.39,36.4,1.388
19.78,36.4,1.493
21.35,36.7,1.611
23,36.7,1.736
24.12,36.7,1.821
25.15,36.4,1.898
25.98,35.9,1.961
25.15,35,1.898
24.07,34.3,1.817
22.74,34.8,1.716
21.87,34.4,1.65
20.8,34,1.57
19.47,33.8,1.47
18.38,33.6,1.387
17.22,33.7,1.3
16.56,33.4,1.25
15.32,33.1,1.156
14.38,33.2,1.086
13.87,32.5,1.046
13.52,28.5,1.02
13.45,30.9,1.015
12.26,32.3,0.926
11.22,31.8,0.847
10.41,31,0.786
9.13,29.6,0.689
8.13,28,0.614
8.13,28,0.614
4.38,20.5,0.33
3.58,18,0.27
2.99,16.3,0.226
0.12,6.8,0.009
-1.94,-2.8,-0.146
-3.56,-10.9,-0.268
-5.13,-19.4,-0.387
-6.83,-27.4,-0.515
-10.48,-31.2,-0.791
-14.25,-34,-1.075
-17.88,-36.2,-1.349
-21.86,-38,-1.65
-24.48,-38.6,-1.848
-25.15,-39.2,-1.898
NaN,NaN,NaN
-27.71,-38.9,-2.091
-26.67,-37.1,-2.013
-25.56,-36.1,-1.929
-24.29,-34.9,-1.833
-22.68,-33.4,-1.712
-22.09,-33.1,-1.667
-20.85,-32,-1.574
-19.28,-31.1,-1.455
-17.82,-29.9,-1.345
-16.74,-29,-1.264
-15.98,-29,-1.206
-14.67,-27,-1.107
-13.61,-26,-1.027
-12.43,-24.7,-0.938
-11.44,-23,-0.863
-10.45,-20.5,-0.788
-9.64,-17.1,-0.727
-8.72,-12.8,-0.658
-8.05,-9.2,-0.608
-7.47,-5.6,-0.564
-6.81,-2.1,-0.514
-6.32,1,-0.477
-5.91,3.6,-0.446
-5.24,7.4,-0.396
-4.53,10.5,-0.342
-3.92,13.8,-0.296
-3.12,17.3,-0.235
-2.27,20.1,-0.171
-1.21,22.4,-0.092
-0.37,24.5,-0.028
0.95,26.5,0.072
1.78,27.7,0.134
2.77,29.4,0.209
3.82,30.8,0.288
4.91,32.3,0.371
6.19,33.5,0.467
7.56,34.3,0.57
8.8,35.2,0.664
10.45,35.2,0.788
11.77,35.2,0.888
12.18,35.5,0.919
13.26,35.2,1
14.66,36.1,1.106
16.13,36.2,1.217
17.28,36.4,1.304
18.38,36.4,1.387
19.68,36.5,1.485
20.61,36.5,1.555
21.68,36.4,1.636
22.92,36.7,1.73
24.32,36.7,1.836
25.56,36.7,1.929
26.37,36.5,1.99
27.63,36.4,2.085
28.52,34.7,2.153
28.06,35.5,2.118
26.55,34.6,2.004
