Test unit,E2
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.22,-16.8,-0.019
-0.2,-15.7,-0.018
-0.18,-14.6,-0.016
-0.17,-13.7,-0.014
-0.15,-12.7,-0.013
-0.13,-11.6,-0.012
-0.11,-10.7,-0.01
-0.09,-9.8,-0.008
-0.08,-8.9,-0.007
-0.07,-7.9,-0.006
-0.06,-7,-0.005
-0.04,-6.1,-0.004
-0.03,-5.2,-0.002
-0.01,-4.3,-0.001
0.01,-3.3,0.001
0.02,-2.4,0.002
0.04,-1.5,0.004
0.06,-0.6,0.005
0.09,0.3,0.007
0.1,1.2,0.009
0.11,2.3,0.01
0.12,3.4,0.011
0.14,4.9,0.012
0.15,6.4,0.013
0.17,7.7,0.015
0.19,8.8,0.016
0.2,9.9,0.018
0.23,8.9,0.02
0.23,9.9,0.02
0.24,11.2,0.021
0.25,12.4,0.022
0.27,13.6,0.024
0.29,14.6,0.025
0.31,15.5,0.027
0.35,16.4,0.03
0.35,17.4,0.03
0.35,18.4,0.031
0.36,19.3,0.031
0.38,20.2,0.033
0.4,21.2,0.034
0.42,22,0.036
0.43,22.9,0.038
0.45,23.8,0.039
0.46,24.8,0.04
0.48,25.7,0.042
0.5,26.6,0.043
0.53,27.3,0.047
0.54,28.3,0.047
0.55,29.2,0.048
0.58,30,0.05
0.59,31,0.051
0.61,32,0.053
0.63,32.9,0.055
0.65,33.8,0.057
0.68,34.7,0.059
0.71,35.4,0.062
0.74,36.4,0.064
0.75,37.3,0.065
0.79,38,0.068
0.8,38.9,0.07
0.83,39.8,0.072
0.87,40.7,0.076
0.91,41.3,0.079
0.94,42.2,0.081
0.97,43,0.084
1.03,43.4,0.089
1.07,44,0.093
1.09,44.8,0.095
1.08,43.8,0.094
1.08,42.9,0.094
1.08,41.9,0.094
1.08,40.9,0.094
1.07,41.9,0.093
1.07,42.9,0.093
1.09,41.9,0.095
1.1,40.9,0.095
1.09,40,0.094
1.06,39.1,0.092
1.05,40.1,0.091
1.05,38.9,0.092
1.04,37.9,0.091
1.03,37,0.089
1.02,37.9,0.088
1.03,36.9,0.089
1.03,36,0.09
1.01,35.1,0.088
0.97,34.2,0.084
0.96,33.3,0.084
0.95,32.3,0.082
0.92,31.3,0.08
0.91,30.4,0.079
0.89,29.3,0.078
0.89,28.4,0.077
0.86,27.5,0.075
0.84,26.6,0.073
0.82,25.7,0.071
0.81,24.8,0.07
0.79,23.7,0.069
0.78,22.7,0.068
0.76,21.8,0.066
0.75,20.7,0.065
0.73,19.7,0.064
0.72,18.7,0.062
0.7,17.8,0.061
0.68,16.8,0.059
0.67,15.8,0.058
0.65,14.8,0.057
0.64,14,0.056
0.63,13,0.055
0.62,12.1,0.053
0.6,11.2,0.052
0.58,10.2,0.051
0.57,9.3,0.049
0.55,8.4,0.048
0.54,7.5,0.047
0.54,6.4,0.047
0.53,5.5,0.046
0.51,4.6,0.044
0.49,3.6,0.043
0.47,2.5,0.041
0.46,1.6,0.04
0.45,0.8,0.039
0.43,-0.1,0.037
0.42,-1.1,0.036
0.41,-2,0.035
0.39,-3.1,0.034
0.38,-4.3,0.033
0.36,-5.6,0.031
0.35,-6.7,0.031
0.35,-7.6,0.03
0.33,-8.6,0.029
0.29,-9.3,0.025
0.28,-10.4,0.024
0.26,-11.5,0.023
0.24,-12.5,0.021
0.23,-13.5,0.02
0.2,-14.4,0.018
0.19,-15.3,0.016
0.17,-16.2,0.015
0.15,-17.3,0.013
0.14,-18.3,0.012
0.12,-19.2,0.011
0.12,-20.2,0.01
0.09,-21.2,0.008
0.06,-22.2,0.005
0.04,-23.1,0.003
0.02,-24,0.001
0,-25,0
-0.02,-26,-0.002
-0.04,-27,-0.003
-0.06,-27.8,-0.005
-0.08,-28.9,-0.007
-0.1,-29.8,-0.009
-0.12,-30.8,-0.01
-0.13,-31.8,-0.011
-0.16,-32.7,-0.014
-0.18,-33.6,-0.016
-0.21,-34.5,-0.018
-0.22,-35.4,-0.02
-0.24,-36.3,-0.021
-0.27,-37.3,-0.023
-0.29,-38.2,-0.025
-0.31,-39,-0.027
-0.33,-39.9,-0.028
-0.34,-40.9,-0.03
-0.36,-41.9,-0.031
-0.39,-42.6,-0.034
-0.43,-43.5,-0.037
-0.44,-44.5,-0.039
-0.46,-45.4,-0.04
-0.5,-46.2,-0.043
-0.52,-47.1,-0.045
-0.54,-47.9,-0.047
-0.57,-48.7,-0.05
-0.6,-49.5,-0.052
-0.63,-50.4,-0.055
-0.67,-51.1,-0.058
-0.69,-50.2,-0.06
-0.69,-49.3,-0.06
-0.7,-48.3,-0.061
-0.7,-47.3,-0.061
-0.68,-46.3,-0.059
-0.67,-45.3,-0.058
-0.66,-44.4,-0.057
-0.64,-43.3,-0.056
-0.63,-42.4,-0.055
-0.6,-41.6,-0.052
-0.6,-40.6,-0.052
-0.59,-39.7,-0.051
-0.57,-38.7,-0.049
-0.56,-37.8,-0.048
-0.54,-36.9,-0.047
-0.52,-35.9,-0.045
-0.51,-34.9,-0.044
-0.49,-33.9,-0.043
-0.46,-33,-0.04
-0.45,-32,-0.039
-0.44,-31,-0.038
-0.43,-30,-0.037
-0.41,-29,-0.035
-0.39,-28,-0.034
-0.38,-27,-0.033
-0.36,-26.1,-0.032
-0.34,-25,-0.03
-0.32,-24.1,-0.028
-0.31,-23.2,-0.027
-0.27,-22.4,-0.023
