Test unit,T1-4
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.9,33.5,0.072
0.72,25.7,0.057
0.54,17.2,0.043
0.43,12.5,0.034
0.15,0.6,0.012
-0.03,-6.6,-0.003
-0.22,-14.4,-0.018
-0.43,-21.6,-0.034
-0.6,-28.8,-0.048
-0.78,-36.3,-0.063
-0.95,-43.2,-0.076
-1.11,-50.4,-0.089
-1.27,-56.7,-0.102
-1.43,-62.6,-0.115
-1.56,-68.2,-0.125
-1.68,-73.3,-0.134
-1.78,-76.7,-0.142
-1.87,-81.1,-0.15
-1.94,-84.2,-0.155
-1.94,-84.2,-0.155
-1.99,-85.8,-0.159
-2.02,-86.7,-0.162
-2.04,-87.3,-0.164
-2.04,-86.4,-0.164
-2.02,-81.1,-0.162
-1.99,-78.3,-0.159
-1.94,-74.5,-0.155
-1.87,-69.8,-0.15
-1.79,-64.2,-0.143
-1.69,-58.5,-0.135
-1.56,-52.3,-0.125
-1.43,-46,-0.115
-1.28,-39.4,-0.103
-1.12,-32.6,-0.09
-0.96,-25.4,-0.077
-0.78,-18.2,-0.063
-0.61,-10.6,-0.049
-0.43,-2.8,-0.034
-0.24,5,-0.019
-0.05,11.9,-0.004
-0.02,13.5,-0.002
0.01,13.8,0.001
0.01,11.3,0.001
-0.01,9.7,-0.001
-0.01,11.6,-0.001
0,12.2,0
-0.01,12.5,-0.001
0,12.5,0
0,10.3,0
0,11.9,0
0.32,28.2,0.026
0.55,38.2,0.044
0.77,48.2,0.062
1,57.6,0.08
1.21,67.3,0.097
1.41,75.8,0.113
1.61,84.5,0.128
1.79,92.4,0.143
1.96,99.9,0.157
2.1,105.5,0.168
2.21,109.3,0.176
2.33,113.3,0.187
2.42,115.2,0.194
2.48,116.1,0.199
2.53,116.5,0.202
2.55,116.1,0.204
2.55,114.3,0.204
2.52,110.5,0.201
2.48,107.7,0.199
2.4,102.4,0.192
2.3,96.1,0.184
2.21,89.5,0.176
2.08,81.7,0.166
1.92,73.3,0.153
1.76,65.4,0.14
1.57,57,0.126
1.38,48.5,0.11
1.18,39.4,0.094
0.95,30.4,0.076
0.73,21.3,0.058
0.55,13.1,0.044
0.25,0.9,0.02
0.02,-7.5,0.002
-0.22,-16.3,-0.018
-0.46,-25.4,-0.037
-0.7,-33.8,-0.056
-0.92,-43.2,-0.074
-1.13,-51.3,-0.091
-1.36,-59.8,-0.109
-1.55,-67.6,-0.124
-1.73,-75.1,-0.139
-1.91,-82.6,-0.152
-2.06,-88.3,-0.164
-2.19,-93,-0.176
-2.31,-96.1,-0.185
-2.41,-98.6,-0.193
-2.47,-99.9,-0.198
-2.53,-100.5,-0.202
-2.56,-99.9,-0.205
-2.56,-98.6,-0.205
-2.54,-93.6,-0.203
-2.51,-90.5,-0.2
-2.44,-86.1,-0.195
-2.37,-80.5,-0.189
-2.26,-74.2,-0.181
-2.13,-67.3,-0.17
-1.99,-60.4,-0.159
-1.84,-53.2,-0.147
-1.65,-45.7,-0.132
-1.47,-37.9,-0.117
-1.25,-30.4,-0.1
-0.81,-13.1,-0.065
-0.58,-4.4,-0.046
-0.34,4.4,-0.027
-0.14,11.9,-0.011
0.04,18.5,0.003
0.01,13.1,0.001
0.01,12.8,0.001
0,12.5,0
0,11.9,0
0,12.2,0
0.1,21,0.008
0.4,32.9,0.032
0.62,41.6,0.05
0.86,50.4,0.069
1.07,58.5,0.086
1.3,67.3,0.104
1.68,82,0.134
1.85,88.9,0.148
2.01,95.2,0.161
2.15,99.9,0.172
2.26,104.2,0.181
2.36,107.7,0.188
2.44,110.8,0.195
2.51,112.7,0.2
2.53,112.4,0.202
2.55,112.4,0.204
2.55,110.5,0.204
2.51,106.8,0.2
2.45,102.7,0.196
2.38,97.7,0.19
2.27,91.4,0.182
2.15,84.2,0.172
2.01,76.1,0.161
1.86,68.6,0.149
1.69,60.4,0.135
1.5,52,0.12
1.31,43.8,0.104
