Test unit,test 5
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.76,-30,-0.117
-1.76,-26.9,-0.117
-1.59,-26.2,-0.106
-1.59,-23.9,-0.106
-1.42,-23.1,-0.095
-1.42,-21.6,-0.095
-1.25,-20.8,-0.083
-1.25,-18.5,-0.083
-1.08,-17.7,-0.072
-1.08,-16.2,-0.072
-0.92,-15.4,-0.061
-0.92,-13.1,-0.061
-0.75,-12.3,-0.05
-0.75,-10,-0.05
-0.58,-9.2,-0.039
-0.58,-6.9,-0.039
-0.42,-6.2,-0.028
-0.42,-3.8,-0.028
-0.25,-3.1,-0.017
-0.25,-1.5,-0.017
-0.08,-0.8,-0.006
-0.08,-0,-0.006
NaN,NaN,NaN
-0.08,-0,-0.006
-0.08,2.3,-0.006
0.08,3.1,0.006
0.08,5.4,0.006
0.25,6.1,0.017
0.25,8.4,0.017
0.42,9.2,0.028
0.42,11.5,0.028
0.58,12.3,0.039
0.58,14.6,0.039
0.75,15.4,0.05
0.75,17.7,0.05
0.92,18.4,0.061
0.92,20,0.061
1.09,20.8,0.073
1.09,23.1,0.073
1.26,23.8,0.084
1.26,26.1,0.084
1.42,26.9,0.095
1.42,29.2,0.095
1.59,30,0.106
1.59,32.3,0.106
1.76,33.1,0.117
1.76,34.6,0.117
1.92,35.4,0.128
1.92,37.7,0.128
2.26,39.2,0.15
2.26,40.8,0.15
2.59,42.3,0.173
2.59,43.1,0.173
2.92,44.6,0.195
2.92,45.4,0.195
2.92,37.7,0.195
2.76,36.9,0.184
2.76,33.1,0.184
2.59,32.3,0.173
2.59,29.2,0.173
2.42,28.5,0.162
2.42,25.4,0.162
2.26,24.6,0.15
2.26,21.5,0.15
2.09,20.8,0.139
2.09,18.4,0.139
1.92,17.7,0.128
1.92,15.4,0.128
1.76,14.6,0.117
1.76,12.3,0.117
1.59,11.5,0.106
1.59,9.2,0.106
1.42,8.4,0.095
1.42,6.1,0.095
1.26,5.4,0.084
1.26,3.8,0.084
1.09,3.1,0.073
1.09,0.8,0.073
0.92,-0,0.061
0.92,-2.3,0.061
0.75,-3.1,0.05
0.75,-4.6,0.05
0.58,-5.4,0.039
0.58,-7.7,0.039
0.42,-8.5,0.028
0.42,-10,0.028
0.25,-10.8,0.017
0.25,-13.1,0.017
0.08,-13.9,0.006
0.08,-15.4,0.006
-0.08,-16.2,-0.006
-0.08,-17.7,-0.006
-0.25,-18.5,-0.017
-0.25,-20.8,-0.017
-0.42,-21.6,-0.028
-0.42,-22.3,-0.028
-0.58,-23.1,-0.039
-0.58,-24.6,-0.039
-0.75,-25.4,-0.05
-0.75,-26.9,-0.05
-0.92,-27.7,-0.061
-0.92,-29.2,-0.061
-1.25,-30.8,-0.083
-1.25,-33.1,-0.083
-1.59,-34.6,-0.106
-1.59,-36.2,-0.106
-1.92,-37.7,-0.128
-1.92,-39.2,-0.128
-2.09,-40,-0.139
-2.26,-40,-0.15
-2.42,-40.8,-0.162
-2.59,-41.5,-0.173
-2.76,-42.3,-0.184
-2.92,-41.5,-0.195
-2.92,-36.2,-0.195
-2.76,-35.4,-0.184
-2.76,-33.1,-0.184
-2.59,-32.3,-0.173
-2.59,-30.8,-0.173
-2.42,-30,-0.162
-2.42,-29.2,-0.162
-2.26,-28.5,-0.15
-2.26,-26.9,-0.15
-1.92,-25.4,-0.128
-1.92,-23.1,-0.128
-1.76,-22.3,-0.117
-1.76,-20.8,-0.117
-1.59,-20,-0.106
