Test unit;G2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0539870000000000;-42.5641;-4.31896
-0.0539745000000000;-42.5641;-4.31796
-0.0539620000000000;-42.5641;-4.31696
-0.0539495000000000;-42.5641;-4.31596
-0.0539370000000000;-42.5641;-4.31496
-0.0539245000000000;-42.5641;-4.31396
-0.0539120000000000;-42.5641;-4.31296
-0.0538995000000000;-42.5641;-4.31196
-0.0538870000000000;-42.5641;-4.31096
-0.0538745000000000;-42.5641;-4.30996
-0.0538620000000000;-42.5641;-4.30896
-0.0538495000000000;-42.5641;-4.30796
-0.0538370000000000;-42.5641;-4.30696
-0.0538245000000000;-42.5641;-4.30596
-0.0538120000000000;-42.5641;-4.30496
-0.0537995000000000;-42.5641;-4.30396
-0.0537870000000000;-42.5641;-4.30296
-0.0537745000000000;-42.5641;-4.30196
-0.0537620000000000;-42.5641;-4.30096
-0.0537495000000000;-42.5641;-4.29996
-0.0537370000000000;-42.5641;-4.29896
-0.0537245000000000;-42.5641;-4.29796
-0.0537120000000000;-42.5641;-4.29696
-0.0536995000000000;-42.5641;-4.29596
-0.0536870000000000;-42.5641;-4.29496
-0.0536745000000000;-42.5641;-4.29396
-0.0536620000000000;-42.5641;-4.29296
-0.0536495000000000;-42.5641;-4.29196
-0.0536370000000000;-42.5641;-4.29096
-0.0536245000000000;-42.5641;-4.28996
-0.0536120000000000;-42.5641;-4.28896
-0.0535995000000000;-42.5641;-4.28796
-0.0535870000000000;-42.5641;-4.28696
-0.0535745000000000;-42.5641;-4.28596
-0.0535620000000000;-42.5641;-4.28496
-0.0535495000000000;-42.5641;-4.28396
-0.0535370000000000;-42.5641;-4.28296
-0.0535245000000000;-42.5641;-4.28196
-0.0535120000000000;-42.5641;-4.28096
-0.0534995000000000;-42.5641;-4.27996
-0.0534870000000000;-42.5641;-4.27896
-0.0534745000000000;-42.5641;-4.27796
-0.0534620000000000;-42.5641;-4.27696
-0.0534495000000000;-42.5641;-4.27596
-0.0534370000000000;-42.5641;-4.27496
-0.0534245000000000;-42.5641;-4.27396
-0.0534120000000000;-42.5641;-4.27296
-0.0533995000000000;-42.5641;-4.27196
-0.0533870000000000;-42.5641;-4.27096
-0.0533745000000000;-42.5641;-4.26996
-0.0533620000000000;-42.5641;-4.26896
-0.0533495000000000;-42.5641;-4.26796
-0.0533370000000000;-42.5641;-4.26696
-0.0533245000000000;-42.5641;-4.26596
-0.0533120000000000;-42.5641;-4.26496
-0.0532995000000000;-42.5641;-4.26396
-0.0532870000000000;-42.5641;-4.26296
-0.0532745000000000;-42.5641;-4.26196
-0.0532620000000000;-42.5641;-4.26096
-0.0532495000000000;-42.5641;-4.25996
-0.0532370000000000;-42.5641;-4.25896
-0.0532245000000000;-42.5641;-4.25796
-0.0532120000000000;-42.5641;-4.25696
-0.0531995000000000;-42.5641;-4.25596
-0.0531870000000000;-42.5641;-4.25496
-0.0531745000000000;-42.5641;-4.25396
-0.0531620000000000;-42.5641;-4.25296
-0.0531495000000000;-42.5641;-4.25196
-0.0531370000000000;-42.5641;-4.25096
-0.0531245000000000;-42.5641;-4.24996
-0.0531120000000000;-42.5641;-4.24896
-0.0530995000000000;-42.5641;-4.24796
-0.0530870000000000;-42.5641;-4.24696
-0.0530745000000000;-42.5641;-4.24596
-0.0530620000000000;-42.5641;-4.24496
-0.0530495000000000;-42.5641;-4.24396
-0.0530370000000000;-42.5641;-4.24296
-0.0530245000000000;-42.5641;-4.24196
-0.0530120000000000;-42.5621;-4.24096
-0.0529995000000000;-42.5467;-4.23996
-0.0529870000000000;-42.5313;-4.23896
-0.0529745000000000;-42.5159;-4.23796
-0.0529620000000000;-42.5005;-4.23696
