Test unit,CT02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
10.37,107.8,0.415
10.41,107.8,0.417
10.47,107.9,0.419
10.51,107.9,0.421
10.56,108,0.422
10.61,108,0.424
10.65,108,0.426
10.7,108.1,0.428
10.75,108.1,0.43
10.8,108.1,0.432
10.85,108.1,0.434
10.89,108.1,0.436
10.94,108.1,0.438
10.99,108.2,0.439
11.03,108.2,0.441
11.08,108.2,0.443
11.13,108.2,0.445
11.17,108.2,0.447
11.22,108.2,0.449
11.27,108.2,0.451
11.32,108.1,0.453
11.37,108.1,0.455
11.42,108.1,0.457
11.47,108.1,0.459
11.51,107.6,0.46
11.53,106.8,0.461
11.55,103.4,0.462
11.57,102.5,0.463
11.61,99.1,0.464
11.62,97.3,0.465
11.67,97.4,0.467
11.73,97.4,0.469
11.79,97.4,0.471
11.84,97.5,0.474
11.9,97.5,0.476
11.97,97.5,0.479
12.03,97.6,0.481
12.09,97.6,0.483
12.14,97.6,0.486
12.2,97.6,0.488
12.25,97.6,0.49
12.32,97.7,0.493
12.37,97.7,0.495
12.44,97.7,0.497
12.49,97.7,0.5
12.55,97.7,0.502
12.61,97.7,0.504
12.67,97.7,0.507
12.73,97.7,0.509
12.79,97.7,0.511
12.84,97.7,0.514
12.9,97.7,0.516
12.96,97.7,0.518
13.02,97.7,0.521
13.08,97.7,0.523
13.14,97.7,0.525
13.2,97.7,0.528
13.26,97.7,0.53
13.32,97.7,0.533
13.37,97.7,0.535
13.43,97.6,0.537
13.49,97.6,0.539
13.55,97.6,0.542
13.61,97.6,0.544
13.67,97.6,0.547
13.73,97.6,0.549
13.79,97.6,0.551
13.85,97.6,0.554
13.91,97.6,0.556
13.97,97.5,0.559
14.03,97.5,0.561
14.07,97.1,0.563
14.09,96.2,0.564
14.14,89,0.566
14.17,88.3,0.567
14.2,82.1,0.568
14.25,81.7,0.57
14.27,81.1,0.571
