Test unit;C_1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0375185000000000;-48.1512;-3.00148
-0.0375060000000000;-48.1667;-3.00048
-0.0374935000000000;-48.1822;-2.99948
-0.0374810000000000;-48.1977;-2.99848
-0.0374685000000000;-48.2132;-2.99748
-0.0374560000000000;-48.2286;-2.99648
-0.0374435000000000;-48.2441;-2.99548
-0.0374310000000000;-48.2596;-2.99448
-0.0374185000000000;-48.2751;-2.99348
-0.0374060000000000;-48.2906;-2.99248
-0.0373935000000000;-48.306;-2.99148
-0.0373810000000000;-48.3215;-2.99048
-0.0373685000000000;-48.337;-2.98948
-0.0373560000000000;-48.3525;-2.98848
-0.0373435000000000;-48.3668;-2.98748
-0.0373310000000000;-48.3669;-2.98648
-0.0373185000000000;-48.3669;-2.98548
-0.0373060000000000;-48.3669;-2.98448
-0.0372935000000000;-48.367;-2.98348
-0.0372810000000000;-48.367;-2.98248
-0.0372685000000000;-48.367;-2.98148
-0.0372560000000000;-48.3671;-2.98048
-0.0372435000000000;-48.3671;-2.97948
-0.0372310000000000;-48.3671;-2.97848
-0.0372185000000000;-48.3672;-2.97748
-0.0372060000000000;-48.3672;-2.97648
-0.0371935000000000;-48.3672;-2.97548
-0.0371810000000000;-48.3673;-2.97448
-0.0371685000000000;-48.3673;-2.97348
-0.0371560000000000;-48.3673;-2.97248
-0.0371435000000000;-48.3674;-2.97148
-0.0371310000000000;-48.3674;-2.97048
-0.0371185000000000;-48.3674;-2.96948
-0.0371060000000000;-48.3675;-2.96848
-0.0370935000000000;-48.3675;-2.96748
-0.0370810000000000;-48.3675;-2.96648
-0.0370685000000000;-48.3676;-2.96548
-0.0370560000000000;-48.3676;-2.96448
-0.0370435000000000;-48.3676;-2.96348
-0.0370310000000000;-48.3677;-2.96248
-0.0370185000000000;-48.3677;-2.96148
-0.0370060000000000;-48.3677;-2.96048
-0.0369935000000000;-48.3677;-2.95948
-0.0369810000000000;-48.3678;-2.95848
-0.0369685000000000;-48.3678;-2.95748
