Test unit;IG1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0554906250000000;-43.5897;-4.43925
-0.0554781250000000;-43.5897;-4.43825
-0.0554656250000000;-43.5897;-4.43725
-0.0554531250000000;-43.5897;-4.43625
-0.0554406250000000;-43.5897;-4.43525
-0.0554281250000000;-43.5897;-4.43425
-0.0554156250000000;-43.5897;-4.43325
-0.0554031250000000;-43.5897;-4.43225
-0.0553906250000000;-43.5897;-4.43125
-0.0553781250000000;-43.5897;-4.43025
-0.0553656250000000;-43.5897;-4.42925
-0.0553531250000000;-43.5897;-4.42825
-0.0553406250000000;-43.5897;-4.42725
-0.0553281250000000;-43.5897;-4.42625
-0.0553156250000000;-43.5897;-4.42525
-0.0553031250000000;-43.5897;-4.42425
-0.0552906250000000;-43.5897;-4.42325
-0.0552781250000000;-43.5897;-4.42225
-0.0552656250000000;-43.5897;-4.42125
-0.0552531250000000;-43.5897;-4.42025
-0.0552406250000000;-43.5897;-4.41925
-0.0552281250000000;-43.5897;-4.41825
-0.0552156250000000;-43.5897;-4.41725
-0.0552031250000000;-43.5897;-4.41625
-0.0551906250000000;-43.5897;-4.41525
-0.0551781250000000;-43.5897;-4.41425
-0.0551656250000000;-43.5897;-4.41325
-0.0551531250000000;-43.5897;-4.41225
-0.0551406250000000;-43.5897;-4.41125
-0.0551281250000000;-43.5897;-4.41025
-0.0551156250000000;-43.5897;-4.40925
-0.0551031250000000;-43.5897;-4.40825
-0.0550906250000000;-43.5897;-4.40725
-0.0550781250000000;-43.5897;-4.40625
-0.0550656250000000;-43.5897;-4.40525
-0.0550531250000000;-43.5897;-4.40425
-0.0550406250000000;-43.5897;-4.40325
-0.0550281250000000;-43.5897;-4.40225
-0.0550156250000000;-43.5897;-4.40125
-0.0550031250000000;-43.5897;-4.40025
-0.0549906250000000;-43.5897;-4.39925
-0.0549781250000000;-43.5897;-4.39825
-0.0549656250000000;-43.5897;-4.39725
-0.0549531250000000;-43.5897;-4.39625
-0.0549406250000000;-43.5897;-4.39525
-0.0549281250000000;-43.5897;-4.39425
-0.0549156250000000;-43.5897;-4.39325
-0.0549031250000000;-43.5897;-4.39225
-0.0548906250000000;-43.5897;-4.39125
-0.0548781250000000;-43.5897;-4.39025
-0.0548656250000000;-43.5897;-4.38925
-0.0548531250000000;-43.5897;-4.38825
-0.0548406250000000;-43.5897;-4.38725
-0.0548281250000000;-43.5897;-4.38625
-0.0548156250000000;-43.5897;-4.38525
-0.0548031250000000;-43.5897;-4.38425
-0.0547906250000000;-43.5897;-4.38325
-0.0547781250000000;-43.5897;-4.38225
-0.0547656250000000;-43.5897;-4.38125
-0.0547531250000000;-43.5897;-4.38025
-0.0547406250000000;-43.5897;-4.37925
-0.0547281250000000;-43.5897;-4.37825
-0.0547156250000000;-43.5897;-4.37725
-0.0547031250000000;-43.5897;-4.37625
-0.0546906250000000;-43.5897;-4.37525
-0.0546781250000000;-43.5897;-4.37425
-0.0546656250000000;-43.5897;-4.37325
-0.0546531250000000;-43.5897;-4.37225
-0.0546406250000000;-43.5897;-4.37125
-0.0546281250000000;-43.5897;-4.37025
