Test unit,CS01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
8.19,84.8,0.328
8.23,84.8,0.329
8.27,84.9,0.331
8.31,84.9,0.332
8.35,85,0.334
8.39,85,0.336
8.43,85.1,0.337
8.47,85.1,0.339
8.51,85.1,0.341
8.55,85.2,0.342
8.59,85.2,0.344
8.63,85.2,0.345
8.67,85.3,0.347
8.71,85.3,0.348
8.75,85.3,0.35
8.79,85.4,0.351
8.83,85.4,0.353
8.87,85.4,0.355
8.9,85.5,0.356
8.94,85.5,0.358
8.98,85.5,0.359
9.02,85.6,0.361
9.06,85.6,0.362
9.1,85.6,0.364
9.14,85.6,0.365
9.17,85.5,0.367
9.2,85.3,0.368
9.23,79.7,0.369
9.27,79.7,0.371
9.29,79.3,0.372
9.35,62.7,0.374
9.39,62.7,0.376
9.44,62.6,0.377
9.48,62.6,0.379
9.52,62.5,0.381
9.56,62.4,0.382
9.58,61.9,0.383
9.6,61.2,0.384
9.62,52.2,0.385
9.67,52.1,0.387
9.72,51.9,0.389
9.77,51.8,0.391
9.82,51.7,0.393
9.87,51.6,0.395
9.92,51.5,0.397
9.97,51.4,0.399
10.02,51.3,0.401
10.07,51.3,0.403
10.13,51.1,0.405
10.18,51.1,0.407
10.23,51,0.409
10.27,50.9,0.411
10.32,50.9,0.413
10.37,50.8,0.415
10.42,50.7,0.417
10.47,50.6,0.419
10.52,50.5,0.421
10.58,50.4,0.423
10.63,50.3,0.425
10.68,50.2,0.427
10.72,50.1,0.429
10.77,50,0.431
10.82,49.9,0.433
10.88,49.8,0.435
10.93,49.7,0.437
10.98,49.7,0.439
11.02,49.6,0.441
11.07,49.5,0.443
11.12,49.4,0.445
11.16,49.3,0.446
11.21,49.2,0.449
11.27,49,0.451
11.32,48.9,0.453
11.37,48.7,0.455
11.4,48.3,0.456
11.43,48,0.457
11.44,46.6,0.458
