Test unit;URM 1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.00870275000000000;-42.1865;-0.69622
-0.00869025000000000;-42.341;-0.69522
-0.00867775000000000;-42.4955;-0.69422
-0.00866525000000000;-42.65;-0.69322
-0.00865275000000000;-42.8045;-0.69222
-0.00864025000000000;-42.959;-0.69122
-0.00862775000000000;-43.1134;-0.69022
-0.00861525000000000;-43.2679;-0.68922
-0.00860275000000000;-43.4224;-0.68822
-0.00859025000000000;-43.5769;-0.68722
-0.00857775000000000;-43.7314;-0.68622
-0.00856525000000000;-43.8859;-0.68522
-0.00855275000000000;-44.0404;-0.68422
-0.00854025000000000;-44.1949;-0.68322
-0.00852775000000000;-44.3493;-0.68222
-0.00851525000000000;-44.5038;-0.68122
-0.00850275000000000;-44.6583;-0.68022
-0.00849025000000000;-44.8128;-0.67922
-0.00847775000000000;-44.9673;-0.67822
-0.00846525000000000;-45.1218;-0.67722
-0.00845275000000000;-45.2763;-0.67622
-0.00844025000000000;-45.4308;-0.67522
-0.00842775000000000;-45.5852;-0.67422
-0.00841525000000000;-45.7397;-0.67322
-0.00840275000000000;-45.8942;-0.67222
-0.00839025000000000;-46.0487;-0.67122
-0.00837775000000000;-46.2032;-0.67022
-0.00836525000000000;-46.3577;-0.66922
-0.00835275000000000;-46.5122;-0.66822
-0.00834025000000000;-46.6667;-0.66722
-0.00832775000000000;-46.8211;-0.66622
-0.00831525000000000;-46.9756;-0.66522
-0.00830275000000000;-47.1301;-0.66422
-0.00829025000000000;-47.19;-0.66322
-0.00827775000000000;-47.2054;-0.66222
-0.00826525000000000;-47.2209;-0.66122
-0.00825275000000000;-47.2363;-0.66022
-0.00824025000000000;-47.2518;-0.65922
-0.00822775000000000;-47.2672;-0.65822
-0.00821525000000000;-47.2827;-0.65722
-0.00820275000000000;-47.2981;-0.65622
-0.00819025000000000;-47.3136;-0.65522
-0.00817775000000000;-47.329;-0.65422
-0.00816525000000000;-47.3445;-0.65322
-0.00815275000000000;-47.3599;-0.65222
-0.00814025000000000;-47.3754;-0.65122
-0.00812775000000000;-47.3908;-0.65022
-0.00811525000000000;-47.4063;-0.64922
-0.00810275000000000;-47.4217;-0.64822
-0.00809025000000000;-47.4372;-0.64722
-0.00807775000000000;-47.4526;-0.64622
-0.00806525000000000;-47.4681;-0.64522
-0.00805275000000000;-47.4835;-0.64422
-0.00804025000000000;-47.499;-0.64322
-0.00802775000000000;-47.5144;-0.64222
-0.00801525000000000;-47.5299;-0.64122
-0.00800275000000000;-47.5453;-0.64022
-0.00799025000000000;-47.5608;-0.63922
-0.00797775000000000;-47.5762;-0.63822
-0.00796525000000000;-47.5917;-0.63722
-0.00795275000000000;-47.6071;-0.63622
-0.00794025000000000;-47.6226;-0.63522
-0.00792775000000000;-47.638;-0.63422
-0.00791525000000000;-47.6535;-0.63322
-0.00790275000000000;-47.6689;-0.63222
-0.00789025000000000;-47.6844;-0.63122
-0.00787775000000000;-47.6848;-0.63022
-0.00786525000000000;-47.6694;-0.62922
-0.00785275000000000;-47.6539;-0.62822
-0.00784025000000000;-47.6385;-0.62722
-0.00782775000000000;-47.623;-0.62622
-0.00781525000000000;-47.6076;-0.62522
-0.00780275000000000;-47.5921;-0.62422
-0.00779025000000000;-47.5767;-0.62322
-0.00777775000000000;-47.5612;-0.62222
-0.00776525000000000;-47.5458;-0.62122
-0.00775275000000000;-47.5303;-0.62022
-0.00774025000000000;-47.5149;-0.61922
-0.00772775000000000;-47.4994;-0.61822
-0.00771525000000000;-47.484;-0.61722
-0.00770275000000000;-47.4685;-0.61622
-0.00769025000000000;-47.4531;-0.61522
-0.00767775000000000;-47.4376;-0.61422
-0.00766525000000000;-47.4222;-0.61322
-0.00765275000000000;-47.4067;-0.61222
-0.00764025000000000;-47.3913;-0.61122
-0.00762775000000000;-47.3758;-0.61022
-0.00761525000000000;-47.3604;-0.60922
-0.00760275000000000;-47.3449;-0.60822
-0.00759025000000000;-47.3295;-0.60722
-0.00757775000000000;-47.314;-0.60622
-0.00756525000000000;-47.2986;-0.60522
-0.00755275000000000;-47.2831;-0.60422
