Test unit;URM2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0175188750000000;-37.5719;-1.40151
-0.0175063750000000;-37.5719;-1.40051
-0.0174938750000000;-37.5719;-1.39951
-0.0174813750000000;-37.5719;-1.39851
-0.0174688750000000;-37.5719;-1.39751
-0.0174563750000000;-37.5719;-1.39651
-0.0174438750000000;-37.5719;-1.39551
-0.0174313750000000;-37.5719;-1.39451
-0.0174188750000000;-37.5719;-1.39351
-0.0174063750000000;-37.5719;-1.39251
-0.0173938750000000;-37.5719;-1.39151
-0.0173813750000000;-37.5719;-1.39051
-0.0173688750000000;-37.5719;-1.38951
-0.0173563750000000;-37.5719;-1.38851
-0.0173438750000000;-37.5719;-1.38751
-0.0173313750000000;-37.5719;-1.38651
-0.0173188750000000;-37.5719;-1.38551
-0.0173063750000000;-37.5719;-1.38451
-0.0172938750000000;-37.5719;-1.38351
-0.0172813750000000;-37.5719;-1.38251
-0.0172688750000000;-37.5719;-1.38151
-0.0172563750000000;-37.5719;-1.38051
-0.0172438750000000;-37.5719;-1.37951
-0.0172313750000000;-37.5719;-1.37851
-0.0172188750000000;-37.5719;-1.37751
-0.0172063750000000;-37.5719;-1.37651
-0.0171938750000000;-37.5719;-1.37551
-0.0171813750000000;-37.5719;-1.37451
-0.0171688750000000;-37.5719;-1.37351
-0.0171563750000000;-37.5719;-1.37251
-0.0171438750000000;-37.5719;-1.37151
-0.0171313750000000;-37.5719;-1.37051
-0.0171188750000000;-37.5719;-1.36951
-0.0171063750000000;-37.5719;-1.36851
-0.0170938750000000;-37.5719;-1.36751
-0.0170813750000000;-37.5719;-1.36651
-0.0170688750000000;-37.5719;-1.36551
-0.0170563750000000;-37.5719;-1.36451
-0.0170438750000000;-37.5719;-1.36351
-0.0170313750000000;-37.5719;-1.36251
-0.0170188750000000;-37.5719;-1.36151
-0.0170063750000000;-37.5719;-1.36051
-0.0169938750000000;-37.5719;-1.35951
-0.0169813750000000;-37.5719;-1.35851
-0.0169688750000000;-37.5719;-1.35751
-0.0169563750000000;-37.5719;-1.35651
-0.0169438750000000;-37.5719;-1.35551
-0.0169313750000000;-37.5719;-1.35451
-0.0169188750000000;-37.5719;-1.35351
-0.0169063750000000;-37.5719;-1.35251
-0.0168938750000000;-37.5719;-1.35151
-0.0168813750000000;-37.5719;-1.35051
-0.0168688750000000;-37.5719;-1.34951
-0.0168563750000000;-37.5719;-1.34851
-0.0168438750000000;-37.5719;-1.34751
-0.0168313750000000;-37.5719;-1.34651
-0.0168188750000000;-37.5719;-1.34551
-0.0168063750000000;-37.5719;-1.34451
-0.0167938750000000;-37.5719;-1.34351
-0.0167813750000000;-37.5719;-1.34251
-0.0167688750000000;-37.5719;-1.34151
-0.0167563750000000;-37.5719;-1.34051
-0.0167438750000000;-37.5719;-1.33951
-0.0167313750000000;-37.5719;-1.33851
-0.0167188750000000;-37.5719;-1.33751
-0.0167063750000000;-37.5719;-1.33651
-0.0166938750000000;-37.5719;-1.33551
-0.0166813750000000;-37.5719;-1.33451
-0.0166688750000000;-37.5719;-1.33351
-0.0166563750000000;-37.5719;-1.33251
-0.0166438750000000;-37.5719;-1.33151
-0.0166313750000000;-37.5719;-1.33051
-0.0166188750000000;-37.5719;-1.32951
-0.0166063750000000;-37.5719;-1.32851
-0.0165938750000000;-37.5719;-1.32751
